filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/22 (27.27%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",7/22 (31.82%),4.43,0.53,4.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (57.14%); Excellent: 3 (42.86%)
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/22 (31.82%),4.71,0.49,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (28.57%); Excellent: 5 (71.43%)
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,8,The course was difficult.,7/22 (31.82%),3.14,0.69,3.00,7,Strongly disagree: 0 (0.00%); Disagree: 1 (14.29%); Neither agree nor disagree: 4 (57.14%); Agree: 2 (28.57%); Strongly agree: 0 (0.00%)
BIOLOGY-216-01_Babcock__Gunnar_Fall_2024.html,Fall 2024,BIOLOGY-216-01 : LIFE'S PURPOSE.BIOLOGY-216-01.PHIL-223-01.,Gunnar Babcock,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/22 (31.82%),4.00,1.53,4.00,7,1: 0 (0.00%); 2: 2 (28.57%); 3: 0 (0.00%); 4: 2 (28.57%); 5: 2 (28.57%); 6: 1 (14.29%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",13/13 (100%),4.54,0.66,5.00,13,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (7.69%); Very Good: 4 (30.77%); Excellent: 8 (61.54%)
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",13/13 (100%),4.31,0.63,4.00,13,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (7.69%); Very Good: 7 (53.85%); Excellent: 5 (38.46%)
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",13/13 (100%),4.77,0.44,5.00,13,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (23.08%); Excellent: 10 (76.92%)
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,8,The course was difficult.,13/13 (100%),3.38,0.65,3.00,13,Strongly disagree: 0 (0.00%); Disagree: 1 (7.69%); Neither agree nor disagree: 6 (46.15%); Agree: 6 (46.15%); Strongly agree: 0 (0.00%)
BIOLOGY-516S-01_Babcock__Gunnar_Fall_2023.html,Fall 2023,BIOLOGY-516S-01 : LIFE'S PURPOSE.BIOLOGY-516S-01.PHIL-516S-01.,Gunnar Babcock,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,13/13 (100%),3.69,1.38,4.00,13,1: 0 (0.00%); 2: 3 (23.08%); 3: 3 (23.08%); 4: 4 (30.77%); 5: 1 (7.69%); 6: 2 (15.38%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",48/122 (39.34%),4.04,0.92,4.00,48,Poor: 1 (2.08%); Marginal: 2 (4.17%); Average: 7 (14.58%); Very Good: 22 (45.83%); Excellent: 16 (33.33%)
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",48/122 (39.34%),4.25,0.76,4.00,48,Poor: 0 (0.00%); Marginal: 2 (4.17%); Average: 3 (6.25%); Very Good: 24 (50.00%); Excellent: 19 (39.58%)
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",48/122 (39.34%),4.46,0.65,5.00,48,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 4 (8.33%); Very Good: 18 (37.50%); Excellent: 26 (54.17%)
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,8,The course was difficult.,48/122 (39.34%),1.77,0.72,2.00,48,Strongly disagree: 18 (37.50%); Disagree: 24 (50.00%); Neither agree nor disagree: 5 (10.42%); Agree: 1 (2.08%); Strongly agree: 0 (0.00%)
CLST-210-01_Atkins__Jed_Fall_2023.html,Fall 2023,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Jed Atkins,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,48/122 (39.34%),2.21,1.09,2.00,48,1: 14 (29.17%); 2: 17 (35.42%); 3: 12 (25.00%); 4: 4 (8.33%); 5: 0 (0.00%); 6: 1 (2.08%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
CLST-210-01_Ha__Polly_Fall_2024.html,Fall 2024,CLST-210-01 : THE GOOD LIFE.CLST-210-01.ETHICS-210-01.HISTORY-266-01.JEWISHST-210-01.PHIL-214-01.PUBPOL-229-01.RELIGION-210-01.,Polly Ha,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
