filename,semester,course,instructor,question_number,question_text,response_text
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the mechanism behind cameras and how light works to produce images. I learned to use and shoot with a film camera, including the technical and aesthetic aspects of black and white photography. Developed an eye for light, composition and emotional content to drive artistic and documentary storytelling. Learned darkroom techniques such as film processing, printing, burning and dodging and scanning. Discussion of black-and-white photography in seminar setting as well as notable works by photographers in the past and present."
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Ive learned how to enlarge, print, use contrast filters, spot and tone, and so much more. This class was phenomenal."
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","developing black&white photographs 
way of framing pics 
and dodging and burning pics"
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- 35 mm film photography
- developing films
- navigating the darkroom
- printing techniques
- understanding pictures (composition/light/emotions)"
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course provided a great basis for learning how to take black and white photos, and specifically film. We learned about the various components of an image such as emotional context and light and how to use a camera (i.e., ISO, shutter speed, and aperture)."
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned darkroom practices of processing and developing film. I expanded my knowledge of photography and what makes a strong image. I learned how to better shoot black and white.
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I definitely developed a much more well rounded set of darkroom skills and it was great to be forced to shoot black and white which was always something that I never did too much of. I've definitely looked at prints in a new light knowing all the things that I could do to it.
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","We learned a lot of technical skills in this course, including how to work a film camera, load film, develop film, and print in the darkroom. We also practice talking about our own work and the work of others, both critically and constructively, whether it be famous photographers or our fellow classmates. Additionally, beyond this, in this course, we developed a new way of looking at our surroundings and situations."
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I became more familiar with darkroom printing techniques like dodging, burning, and contrast filters. I also learned about different photographers and became more confident in shooting portraits."
DOCST-115S-01_Post-Rust__Susie_Spring_2025.html,Spring 2025,DOCST-115S-01 : INTRO TO B&W PHOTOGRAPHY.DOCST-115S-01.ARTSVIS-115S-01.PHOTO-115S-01.VMS-115S-01.,Susie Post-Rust,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Learned how to use a film camera, how to develop film, print/dodge/burn in the darkroom, and got to see a lot of work from famous B&W photographers"
