uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12282386_28111889,PHYSEDU-111-01,WALKING FOR WELLBEING.PHYSEDU-111-01.,"Branson, Sheri",Fall 2023,HTH/PE/REC,"18 of 19  responded (94.74%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,XI1WjFxKP8hiHeD6hwOWqw%3d%3d,WJIRVGJK%2b4ZquoR%2bh5MFbg%3d%3d,2025-11-24T16:34:50.042005
153858_9169_12282403_28111891,PHYSEDU-117-01,FUSION FITNESS FOR WOMEN.PHYSEDU-117-01.,"Finnegan, Maria",Fall 2023,HTH/PE/REC,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,brrwEdtS%2fEbS%2bJW6QqVTaQ%3d%3d,igcXlll9p8VCcXP8gV9s3w%3d%3d,2025-11-24T16:34:50.042136
153858_9169_12282405_28111889,PHYSEDU-106-01,PILATES LEVEL 2.PHYSEDU-106-01.,"Branson, Sheri",Fall 2023,HTH/PE/REC,"9 of 17  responded (52.94%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,wEKqU%2b3TpcWJlbJ%2bFmifPQ%3d%3d,WJIRVGJK%2b4ZquoR%2bh5MFbg%3d%3d,2025-11-24T16:34:50.042223
153858_9169_12282406_27445839,PHYSEDU-116-01,WEIGHT TRAINING FOR WOMEN.PHYSEDU-116-01.,"McNally, Kim",Fall 2023,HTH/PE/REC,"14 of 19  responded (73.68%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,ZPZRKuRcPIAYRAh55vVNPw%3d%3d,mSJHQ0Pl%2fH%2f9phNTOQpz9g%3d%3d,2025-11-24T16:34:50.042321
153858_9169_12282408_28111891,PHYSEDU-104-01,FUSION FITNESS.PHYSEDU-104-01.,"Finnegan, Maria",Fall 2023,HTH/PE/REC,"12 of 20  responded (60.00%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,%2bfymEmzYfq%2fqU37UtnNMJA%3d%3d,igcXlll9p8VCcXP8gV9s3w%3d%3d,2025-11-24T16:34:50.042416
153858_9169_12282416_28111904,PHYSEDU-144-01,TENNIS LEVEL 2.PHYSEDU-144-01.,"Hampton, Janis",Fall 2023,HTH/PE/REC,"13 of 18  responded (72.22%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,EeZnrLTbyYzchuO7tY9ajA%3d%3d,4lOBzQkNJlT9jHSYRNk4FQ%3d%3d,2025-11-24T16:34:50.042497
153858_9169_12282420_28111920,PHYSEDU-113-01,WEIGHT TRAINING.PHYSEDU-113-01.,"Bar, Jordan",Fall 2023,HTH/PE/REC,"9 of 20  responded (45.00%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,mJhacQgxpsl9GyX14uQG8g%3d%3d,WXPGaJBzi1VhduuuLoZX2Q%3d%3d,2025-11-24T16:34:50.042576
153858_9169_12282427_28111891,PHYSEDU-173-01,YOGA FOR FIRST YEARS.PHYSEDU-173-01.,"Finnegan, Maria",Fall 2023,HTH/PE/REC,"10 of 13  responded (76.92%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,dkWhW44rrcb%2fIk%2b%2fZCzacQ%3d%3d,igcXlll9p8VCcXP8gV9s3w%3d%3d,2025-11-24T16:34:50.042654
153858_9169_12282456_28111904,PHYSEDU-143-01,TENNIS LEVEL 1.PHYSEDU-143-01.,"Hampton, Janis",Fall 2023,HTH/PE/REC,"14 of 19  responded (73.68%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,pVqH4bLoGGS%2fuYtyeoL%2brw%3d%3d,4lOBzQkNJlT9jHSYRNk4FQ%3d%3d,2025-11-24T16:34:50.042731
153858_9169_12282457_28111935,PHYSEDU-212-01,SPORTS MEDIA.PHYSEDU-212-01.,"Moore, John",Fall 2023,HTH/PE/REC,"7 of 20  responded (35.00%)



 View Report
                            



 Download PDF",PHYSEDU,98998,CtmkEaIRhsSP75R5T115eg%3d%3d,xbopwaHL2RCPgfacON8KBw%3d%3d,pjeZFAOwWjw9Y1vtc65%2b%2bQ%3d%3d,2025-11-24T16:34:50.042808
