filename,semester,course,instructor,question_number,question_text,response_text
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) Forming the habit of working out.
2) Understanding the muscles being trained for each movement
3) Keeping a positive state of mind"
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",pick up the habit of working out
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-learned about circuit training and resistance training
-how to design your own workout depending on your goal (increase muscle, flexibility etc.)
-how to use your surroundings and various equipments (functional fitness room, TRX etc.) to workout"
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to use most of the machines in the gym, different dynamic stretches to keep my body stretched and reduce injury risk, and creative ways to stay in shape without having access to fitness equipment."
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to create a workout plan, how to use the functional fitness center and new exercises"
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned to identify different muscle groups and do exercise targeted at those muscles. I also learned how to do interval training.
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Our instructor uses different sets of exercise and bring us to different places for each class.
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","it was perfect, maria created the best environment for PE class"
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The course facilitated learning by having different activities on each class day, making every class a fun, new learning experience."
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Maria has been the absolute best! So sweet, dedicated and wants to help you succeed in the gym"
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Trying to develop my own workout facilitates my learning because it is based on everything that I have learned in this class.
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The instructor's positive attitude and various ways to organize this course.
