filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,12/20 (60%),4.75,0.45,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,12/20 (60%),4.75,0.45,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,12/20 (60%),4.75,0.45,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),3,25.00%,12/20 (60%),4.75,0.45,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),9,75.00%,12/20 (60%),4.75,0.45,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,11/20 (55%),4.82,0.40,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,11/20 (55%),4.82,0.40,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,11/20 (55%),4.82,0.40,5.00
PHYSEDU-104-01_Finnegan__Maria_Fall_2023.html,Fall 2023,PHYSEDU-104-01 : FUSION FITNESS.PHYSEDU-104-01.,Maria Finnegan,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),2,18.18%,11/20 (55%),4.82,0.40,5.00
