uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987191_27466657,PHYSICS-141L-001,GENERAL PHYSICS I.PHYSICS-141L-001.,"Roy, Arya",Summer I 2023,PHYSICS,"12 of 42  responded (28.57%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,lw9RuCGPqs47wvqfQLwbiw%3d%3d,UVlHNNybdMC0PHpPxV2X%2bg%3d%3d,2025-11-24T16:35:46.729215
149911_8928_11987197_27466656,PHYSICS-141L9-01L,GENERAL PHYSICS I (LAB).PHYSICS-141L9-01L.,"McKenzie, Ken",Summer I 2023,PHYSICS,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF",,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,4PaqFKAv3%2bDRkzhqSDfDAw%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:35:46.729342
149911_8928_11987197_27466657,PHYSICS-141L9-01L,GENERAL PHYSICS I (LAB).PHYSICS-141L9-01L.,"Roy, Arya",Summer I 2023,PHYSICS,"7 of 22  responded (31.82%)



 View Report
                            



 Download PDF",,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,4PaqFKAv3%2bDRkzhqSDfDAw%3d%3d,UVlHNNybdMC0PHpPxV2X%2bg%3d%3d,2025-11-24T16:35:46.729425
149911_8928_11987202_27466659,PHYSICS-142L-001,GENERAL PHYSICS II.PHYSICS-142L-001.,"Chandrasekharan, Shailesh",Summer I 2023,PHYSICS,"6 of 17  responded (35.29%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,UkFjijis6Ssr5aABmpN4GA%3d%3d,rCqJy7CFgBNRrVRFF6ZcvQ%3d%3d,2025-11-24T16:35:46.729508
149911_8928_11987213_27466656,PHYSICS-141L-002,GENERAL PHYSICS I.PHYSICS-141L-002.,"McKenzie, Ken",Summer I 2023,PHYSICS,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,oyljQtgZNPyvAAptcGnzoQ%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:35:46.729587
149911_8928_11987213_27466658,PHYSICS-141L-002,GENERAL PHYSICS I.PHYSICS-141L-002.,"Brown, Robert",Summer I 2023,PHYSICS,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",PHYSICS,99023,R3taZNKnw14IRH7UBESaUg%3d%3d,oyljQtgZNPyvAAptcGnzoQ%3d%3d,rE7neHlMeBYd0geF%2fI8WIw%3d%3d,2025-11-24T16:35:46.729665
152527_9107_12076207_27466656,PHYSICS-142L-001,GENERAL PHYSICS II.PHYSICS-142L-001.,"McKenzie, Ken",Summer II 2023,PHYSICS,"18 of 18  responded (100.00%)



 View Report
                            



 Download PDF",PHYSICS,99023,4TxgzUHg4Suz2MS8X7frbw%3d%3d,0vKKIO%2bDhOJmSqyEKjY%2fSg%3d%3d,7aE3pAMaBTiMFqK%2b9S9ZvA%3d%3d,2025-11-24T16:35:46.729745
152527_9107_12076207_27466658,PHYSICS-142L-001,GENERAL PHYSICS II.PHYSICS-142L-001.,"Brown, Robert",Summer II 2023,PHYSICS,"18 of 18  responded (100.00%)



 View Report
                            



 Download PDF",PHYSICS,99023,4TxgzUHg4Suz2MS8X7frbw%3d%3d,0vKKIO%2bDhOJmSqyEKjY%2fSg%3d%3d,rE7neHlMeBYd0geF%2fI8WIw%3d%3d,2025-11-24T16:35:46.729822
154503_9169_12241180_27466659,PHYSICS-765-01,ADVANCED QUANTUM MECHANICS.PHYSICS-765-01.,"Chandrasekharan, Shailesh",Fall 2023,PHYSICS,"17 of 23  responded (73.91%)



 View Report
                            



 Download PDF",PHYSICS,98878,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Yqt9EsfyYPmy8bpLtcVWfg%3d%3d,rCqJy7CFgBNRrVRFF6ZcvQ%3d%3d,2025-11-24T16:35:46.729898
154503_9169_12241197_27991463,PHYSICS-763-01,STATISTICAL MECHANICS.PHYSICS-763-01.,"Teitsworth, Stephen",Fall 2023,PHYSICS,"13 of 19  responded (68.42%)



 View Report
                            



 Download PDF",PHYSICS,98878,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,uBqHzfPv4xF8AsYHoSh0aw%3d%3d,9H147quG5hVUcsGz3kDHMw%3d%3d,2025-11-24T16:35:46.729973
