filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",8/11 (72.73%),4.88,0.35,5.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (12.50%); Excellent: 7 (87.50%)
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/11 (72.73%),4.50,0.53,4.50,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (50.00%); Excellent: 4 (50.00%)
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/11 (72.73%),4.75,0.46,5.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (25.00%); Excellent: 6 (75.00%)
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,8,The course was difficult.,8/11 (72.73%),4.00,0.76,4.00,8,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 2 (25.00%); Agree: 4 (50.00%); Strongly agree: 2 (25.00%)
ECE-523-01_Klco__Natalie_Spring_2024.html,Spring 2024,ECE-523-01 : QUANTUM COMPUTING.ECE-523-01.PHYSICS-627-01.,Natalie Klco,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/11 (72.73%),7.25,2.31,7.50,8,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (12.50%); 4: 0 (0.00%); 5: 1 (12.50%); 6: 0 (0.00%); 7: 2 (25.00%); 8: 1 (12.50%); 9: 2 (25.00%); 10+: 1 (12.50%)
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/12 (50%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/12 (50%),4.50,0.84,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (16.67%); Very Good: 1 (16.67%); Excellent: 4 (66.67%)
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",6/12 (50%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ECE-621-01_Brown__Kenneth_Spring_2025.html,Spring 2025,ECE-621-01 : QUANTUM ERROR CORRECTION.ECE-621-01.PHYSICS-628-01.,Kenneth Brown,8,The course was difficult.,6/12 (50%),3.67,0.82,3.50,6,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 3 (50.00%); Agree: 2 (33.33%); Strongly agree: 1 (16.67%)
