uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283008_28112043,PJMS-371-01,NEWS/MORAL BATTLEGROUND.PJMS-371-01.CINE-371-01.DOCST-371-01.ETHICS-259-01.POLSCI-375-01.PUBPOL-371-01.RIGHTS-371-01.,"Adair, William",Fall 2023,POLICYJRNL,"16 of 23  responded (69.57%)



 View Report
                            



 Download PDF","PJMS, CINE, DOCST, ETHICS, POLSCI, PUBPOL, RIGHTS",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,mDe3r%2bkGahrtBHnw32JwSg%3d%3d,hY%2f57We%2f8YJUrGeXgnv4yw%3d%3d,2025-11-24T15:53:34.739678
153858_9169_12283129_28112219,ISS-112-01,THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,"Daniel, Linda",Fall 2023,ISS,"9 of 23  responded (39.13%)



 View Report
                            



 Download PDF","ISS, CULANTH, PJMS",99003,CtmkEaIRhsSP75R5T115eg%3d%3d,0CGUV5NEPtJnnj%2bKVx7R0g%3d%3d,yYNbByl0ToPMOzAZQAPtOA%3d%3d,2025-11-24T15:59:12.820996
153858_9169_12282853_28112162,PJMS-366S-01,LONG-FORM JOURNALISM.PJMS-366S-01.DOCST-356S-01.PUBPOL-366S-01.,"Yeoman, Barry",Fall 2023,POLICYJRNL,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF","PJMS, DOCST, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,xSP9DpLI9x%2fTix3dUZwzVQ%3d%3d,BQR%2f%2b5Tj61UaulG2fV7Xlg%3d%3d,2025-11-24T16:00:47.087678
153858_9169_12283109_28112103,PJMS-390-10,SPECIAL TOPICS.PJMS-390-10.DOCST-190-10.POLSCI-290-10.PUBPOL-290-10.,"Napoli, Philip",Fall 2023,POLICYJRNL,"16 of 21  responded (76.19%)



 View Report
                            



 Download PDF","PJMS, DOCST, POLSCI, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,u%2f3gknvUuWAGfh9hH6JCYw%3d%3d,aT71ZYo9Koa8O4Dkc2QWhQ%3d%3d,2025-11-24T16:00:47.088383
153858_9169_12283109_28112106,PJMS-390-10,SPECIAL TOPICS.PJMS-390-10.DOCST-190-10.POLSCI-290-10.PUBPOL-290-10.,"Sullivan, Margaret",Fall 2023,POLICYJRNL,"16 of 21  responded (76.19%)



 View Report
                            



 Download PDF","PJMS, DOCST, POLSCI, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,u%2f3gknvUuWAGfh9hH6JCYw%3d%3d,pS3iTOT%2f9k9NOa7Y24z0eg%3d%3d,2025-11-24T16:00:47.088469
153858_9169_12282829_28112099,PJMS-89S-01,FIRST-YEAR SEMINAR.PJMS-89S-01.ENGLISH-89S-03.PUBPOL-89S-01.,"Bruni, Frank",Fall 2023,POLICYJRNL,"6 of 14  responded (42.86%)



 View Report
                            



 Download PDF","PJMS, ENGLISH, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,MZhVMjZunYChLe52yvbC3w%3d%3d,P48JM0i2DPtf34TbAYuTQw%3d%3d,2025-11-24T16:09:00.829899
153858_9169_12283072_28112099,PJMS-490-10,SP TOPICS IN POLICY JOURNALISM.PJMS-490-10.ENGLISH-290-7-10.PUBPOL-290-11.,"Bruni, Frank",Fall 2023,POLICYJRNL,"12 of 26  responded (46.15%)



 View Report
                            



 Download PDF","PJMS, ENGLISH, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,jM99C%2f8Ky3fTRvDypeySew%3d%3d,P48JM0i2DPtf34TbAYuTQw%3d%3d,2025-11-24T16:09:00.830748
153858_9169_12282911_27886267,PJMS-367S-01,NEWS WRITING AND REPORTING.PJMS-367S-01.PUBPOL-367S-01.,"Buckley, Stephen",Fall 2023,POLICYJRNL,"16 of 16  responded (100.00%)



 View Report
                            



 Download PDF","PJMS, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,5sMklqNDOYMoexwT5EzOzw%3d%3d,3LuG25hcExTLAoK3xWt9uA%3d%3d,2025-11-24T16:40:12.013315
153858_9169_12282956_28112165,PJMS-410-01,POLICY JOURNALISM/MEDIA ST.PJMS-410-01.PUBPOL-410-01.,"Caplan, Robyn",Fall 2023,POLICYJRNL,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF","PJMS, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,mil39TQwVwkxNhmIzjVEOA%3d%3d,y3rBrkhqU5usH%2bD0nilUGQ%3d%3d,2025-11-24T16:40:12.014798
153858_9169_12283088_28112156,PJMS-375-01,DATA JOURNALISM.PJMS-375-01.PUBPOL-343-01.,"Dukes, Michael",Fall 2023,POLICYJRNL,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF","PJMS, PUBPOL",99025,CtmkEaIRhsSP75R5T115eg%3d%3d,7MLdt8Fi4KtzpGtK9%2bMOrA%3d%3d,0xwLrCNN5BSJ84QKD2grkg%3d%3d,2025-11-24T16:40:12.751401
