filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,9/23 (39.13%),4.44,0.88,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,9/23 (39.13%),4.44,0.88,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,22.22%,9/23 (39.13%),4.44,0.88,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,11.11%,9/23 (39.13%),4.44,0.88,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),6,66.67%,9/23 (39.13%),4.44,0.88,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,9/23 (39.13%),4.44,0.73,5.00
ISS-112-01_Daniel__Linda_Fall_2023.html,Fall 2023,ISS-112-01 : THE GOOGLIZATION OF KNOWLEDGE.ISS-112-01.CULANTH-112-01.PJMS-112-01.,Linda Daniel,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,9/23 (39.13%),4.44,0.73,5.00
