filename,semester,course,instructor,question_number,question_text,response_text
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Applying case studies to IR theory, synthesizing information from large political science papers, basics on how to set up a literature review"
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","in discussion we went over in class material we didn't cover super in depth, so same things as the lectures"
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","talking skills
polisci info"
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The foundational knowledge integral to IR, the means to consider different perspectives/points of views in the realm of international conflict, how to apply theoretical knowledge to real life."
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learnt literature review, skimming and other skills"
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned quite a bit about how to dissect political science academic media in a positive and engaging way. It has definitely helped me engage with material outside of class in a more productive way.
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",This discussion was very helpful for processing the information we went over in the lecture. Ben asked good questions that got the group engaged
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked it, ben was great as a TA"
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I like the textbook
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Basing lessons off the textbook, good slideshows with helpful elaborations from the professor. good and engaging discussion sections with Ben, helpful guidance for exams"
