filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/13 (53.85%),4.00,0.82,4.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (28.57%); Very Good: 3 (42.86%); Excellent: 2 (28.57%)
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",7/13 (53.85%),4.29,0.49,4.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (71.43%); Excellent: 2 (28.57%)
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",7/13 (53.85%),4.71,0.49,5.00,7,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (28.57%); Excellent: 5 (71.43%)
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,8,The course was difficult.,7/13 (53.85%),3.29,1.11,4.00,7,Strongly disagree: 1 (14.29%); Disagree: 0 (0.00%); Neither agree nor disagree: 2 (28.57%); Agree: 4 (57.14%); Strongly agree: 0 (0.00%)
POLSCI-160D-01D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-01D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-01D.PUBPOL-166D-01D.",Kyle Beardsley,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/13 (53.85%),4.14,2.27,4.00,7,1: 1 (14.29%); 2: 1 (14.29%); 3: 0 (0.00%); 4: 2 (28.57%); 5: 2 (28.57%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (14.29%); 9: 0 (0.00%); 10+: 0 (0.00%)
POLSCI-160D-02D_Beardsley__Kyle_Fall_2024.html,Fall 2024,"POLSCI-160D-02D : INTRO TO IR: SEC, PEACE & CONF.POLSCI-160D-02D.PUBPOL-166D-02D.",Kyle Beardsley,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
