uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987234_27466685,AMES-326A-01,RELIGIOUS CITIZENSHIP.AMES-326A-01.RELIGION-371A-01.ICS-362A-01.POLSCI-395A-01.PUBPOL-339A-01.,"Lo, Mbaye",Summer I 2023,AMES,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","AMES, RELIGION, ICS, POLSCI, PUBPOL",98965,R3taZNKnw14IRH7UBESaUg%3d%3d,8mMVIfOvzVxBYIhJDBwLpA%3d%3d,%2fWt4Q5%2boOYWs8P52yAUmbQ%3d%3d,2025-11-24T16:37:12.159202
149911_8928_11987238_27466690,AAAS-103-01,INTRO TO AFRICAN STUDIES.AAAS-103-01.CULANTH-105-01.HISTORY-129-01.POLSCI-108-01.ICS-110-01.,"Daly, Samuel",Summer I 2023,AFRAMRST,"5 of 20  responded (25.00%)



 View Report
                            



 Download PDF","AAAS, CULANTH, HISTORY, POLSCI, ICS",98963,R3taZNKnw14IRH7UBESaUg%3d%3d,zX8pbnMD1QLyVlk5%2fPZCEg%3d%3d,jM0e%2bv8aMV1e00v6crH5vQ%3d%3d,2025-11-24T16:37:12.159313
152527_9107_12076199_27675600,PHIL-237A-01,POL PHIL OF GLOBALIZATION.PHIL-237A-01.POLSCI-297A-01.PUBPOL-204A-01.ECON-303A-01.,"Rosenberg, Alexander",Summer II 2023,PHILOSOPHY,"7 of 23  responded (30.43%)



 View Report
                            



 Download PDF","PHIL, POLSCI, PUBPOL, ECON",99022,4TxgzUHg4Suz2MS8X7frbw%3d%3d,VR74XlQyfCw7jcSYhNOYRw%3d%3d,2fSVEyuQfgHiMPlxQIEbMA%3d%3d,2025-11-24T16:37:12.159423
154454_9169_12239050_27091530,LAW-538-01,TRANSITIONAL JUSTICE.LAW-538-01.POLSCI-537S-01.,"Revkin, Mara",Fall 2023,LAW,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","LAW, POLSCI",98293,bmBUOgqpON8KYRwGVAheRA%3d%3d,Wwh4Cgq3np9IvUgokbmKcw%3d%3d,TMQGdP2FQoH6AYjlzUKqDA%3d%3d,2025-11-24T16:37:12.159506
154503_9169_12241171_27991441,POLSCI-721-02,AUTHORITARIAN INSTITUTIONS.POLSCI-721-02.,"Malesky, Edmund",Fall 2023,POLISCI,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,TK5mMYqSEJI3uE5ADpp3TA%3d%3d,CeHZKaeUFcpBm1gEbemWEA%3d%3d,2025-11-24T16:37:12.159581
154503_9169_12241172_27991427,POLSCI-748-01,CAUSAL INFERENCE.POLSCI-748-01.,"Stegmueller, Daniel",Fall 2023,POLISCI,"6 of 16  responded (37.50%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,D%2b3DyQTYf1cgbn5wylkeqQ%3d%3d,aUJgRMp%2bxQnr9XAmMeWmqg%3d%3d,2025-11-24T16:37:12.159654
154503_9169_12241174_27991424,POLSCI-731-01,SCOPE AND METHODS IN PS.POLSCI-731-01.,"Beardsley, Kyle",Fall 2023,POLISCI,"7 of 10  responded (70.00%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,CWsgoUv%2b3AwUgl6Hex7bNA%3d%3d,FkavsAvYyHm27SXbYzC2nA%3d%3d,2025-11-24T16:37:12.159730
154503_9169_12241175_27991427,POLSCI-643S-01,APPLIED BAYESIAN MODELING.POLSCI-643S-01.,"Stegmueller, Daniel",Fall 2023,POLISCI,"7 of 17  responded (41.18%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,kW5pENaSrt%2bgS3laj8F3gg%3d%3d,aUJgRMp%2bxQnr9XAmMeWmqg%3d%3d,2025-11-24T16:37:12.159803
154503_9169_12241178_27091213,POLSCI-690S-1-02,ADV TOP IN POLITICAL THEORY.POLSCI-690S-1-02.,"Knight, Jack",Fall 2023,POLISCI,"7 of 14  responded (50.00%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,E5N4MBMIavrmsV%2feVrIkIw%3d%3d,DwwYOLdCopTOguXjW2fpxA%3d%3d,2025-11-24T16:37:12.159876
154503_9169_12241179_27445897,POLSCI-574S-01,"DISSENT, DISOBEDIENCE & REV.POLSCI-574S-01.","Kirshner, Alexander",Fall 2023,POLISCI,"5 of 16  responded (31.25%)



 View Report
                            



 Download PDF",POLSCI,98879,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,9kWIGrNtujMWRwkX%2fMQqDg%3d%3d,W7I5lApgq3x4LmF175yUhw%3d%3d,2025-11-24T16:37:12.159949
