uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12281904_28111739,PORTUGUE-203-01,INTERMEDIATE PORTUGUESE.PORTUGUE-203-01.,"Da silva santos, Mariana",Fall 2023,ROMANCE,"15 of 17  responded (88.24%)



 View Report
                            



 Download PDF",PORTUGUE,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,2Fvg4JVhEJ0TNfy0rcjf8g%3d%3d,%2fQO8Y007NwWCEsMfY3etYg%3d%3d,2025-11-24T16:38:51.032011
153858_9169_12281971_27675602,PORTUGUE-301S-01,ADV COLLOQ PORTUGUESE.PORTUGUE-301S-01.,"Silva, Magda",Fall 2023,ROMANCE,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF",PORTUGUE,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,85L%2faIKV35dbPVbFWYfKlw%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.032731
153858_9169_12281976_27675602,PORTUGUE-101-01,ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,"Silva, Magda",Fall 2023,ROMANCE,"18 of 18  responded (100.00%)



 View Report
                            



 Download PDF",PORTUGUE,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,LAZetMCUdPmhDA0Z0ctWcA%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.032853
161337_9470_12750103_27675602,PORTUGUE-112-01,ACCEL ELEM PORTUGUESE.PORTUGUE-112-01.,"Silva, Magda",Spring 2024,ROMANCE,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF",PORTUGUE,99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,lEvId%2bWRXXdf%2bjg78XmWWQ%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.032944
161337_9470_12750118_27675602,PORTUGUE-102-01,ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,"Silva, Magda",Spring 2024,ROMANCE,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF",PORTUGUE,99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,5VmxztJxXHWZnUy8hBiWpQ%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033028
161337_9470_12750118_28598044,PORTUGUE-102-01,ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,"Sanches Duarte, Mateus",Spring 2024,ROMANCE,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF",PORTUGUE,99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,5VmxztJxXHWZnUy8hBiWpQ%3d%3d,JK9vmNn8cqXnbZHXmGcsLQ%3d%3d,2025-11-24T16:38:51.033138
161337_9470_12751124_27445813,PORTUGUE-341S-01,PERSPECTIVES ON THE AMAZON.PORTUGUE-341S-01.LATAMER-341S-01.LIT-341S-01.ROMST-341S-01.,"Furtado, Gustavo",Spring 2024,ROMANCE,"13 of 16  responded (81.25%)



 View Report
                            



 Download PDF","PORTUGUE, LATAMER, LIT, ROMST",99029,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,cIKHExoa8Js3lbrOk4JOPQ%3d%3d,ekln6Qjn69v1aWHSYbuygg%3d%3d,2025-11-24T16:38:51.033224
171550_9973_13685590_27675602,PORTUGUE-301S-01,ADV COLLOQ PORTUGUESE.PORTUGUE-301S-01.,"Silva, Magda",Fall 2024,ROMANCE,"6 of 7  responded (85.71%)



 View Report
                            



 Download PDF",PORTUGUE,99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,E5BrEyZzuYospRvoNAi84Q%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033302
171550_9973_13685644_27675602,PORTUGUE-101-01,ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,"Silva, Magda",Fall 2024,ROMANCE,"15 of 18  responded (83.33%)



 View Report
                            



 Download PDF",PORTUGUE,99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,ZlvHYkmv5uMPurd3jDwcGQ%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033382
171550_9973_13685667_27675602,PORTUGUE-203-01,INTERMEDIATE PORTUGUESE.PORTUGUE-203-01.,"Silva, Magda",Fall 2024,ROMANCE,"12 of 13  responded (92.31%)



 View Report
                            



 Download PDF",PORTUGUE,99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,syzHtNHqA4m275gYzvKWgg%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033460
171550_9973_13685667_30187720,PORTUGUE-203-01,INTERMEDIATE PORTUGUESE.PORTUGUE-203-01.,"Reis da silva louro, Gustavo",Fall 2024,ROMANCE,"12 of 13  responded (92.31%)



 View Report
                            



 Download PDF",PORTUGUE,99029,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,syzHtNHqA4m275gYzvKWgg%3d%3d,zL7XGih5VOMsTzcq%2bRYArA%3d%3d,2025-11-24T16:38:51.033538
171550_9973_13686535_28111981,CULANTH-233S-01,PERFORMING BRAZIL.CULANTH-233S-01.AAAS-235S-01.DANCE-233S-01.MUSIC-233S-01.PORTUGUE-233S-01.ROMST-233S-01.,"Wesolowski, Katya",Fall 2024,CULANTHRO,"14 of 14  responded (100.00%)



 View Report
                            



 Download PDF","CULANTH, AAAS, DANCE, MUSIC, PORTUGUE, ROMST",98978,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,Ekj%2fjyHcvBNrGpXKeb8Ldw%3d%3d,GCc%2b5%2b6LNP05dXLd0DwlbA%3d%3d,2025-11-24T16:38:51.033620
179281_10319_14260990_27675602,PORTUGUE-112-01,ACCEL ELEM PORTUGUESE.PORTUGUE-112-01.,"Silva, Magda",Spring 2025,ROMANCE,"5 of 6  responded (83.33%)



 View Report
                            



 Download PDF",PORTUGUE,99029,z7Dsht4caaqNbXz0r4KoNA%3d%3d,VD90KxWAmkBJMnsU0FcY5Q%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033696
179281_10319_14260991_27675602,PORTUGUE-204-01,ADVANCED INTERMEDIATE PORTUGU.PORTUGUE-204-01.,"Silva, Magda",Spring 2025,ROMANCE,"10 of 11  responded (90.91%)



 View Report
                            



 Download PDF",PORTUGUE,99029,z7Dsht4caaqNbXz0r4KoNA%3d%3d,ma%2ffR2T0h0jXV8syF9JR0A%3d%3d,Avd17fcdwrWEv4fMn4W7Fw%3d%3d,2025-11-24T16:38:51.033806
