filename,semester,course,instructor,question_number,question_text,response_text
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I developed how to speak and learn the basics of portguese.
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I liked how this course was very engaging, and I was able to voice myself. Every student participated and was called on."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",learned a lot of portuguese
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to speak Portuguese, different ways to memorize a language, and a fundamental knowledge of the language."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned to speak Portuguese with the correct accent, use proper grammar in writing."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to say basic information about myself and others in Portuguese 
I learned about the racial history of Brazil 
I learned how to conjugate a lot of verbs"
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed my ability to speak portugues, read the language, and my ability to think in another language."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned so much about vocabulary and conjugations throughout the semester, the knowledge I gained about a language in just 3 short months was incredible."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned the basics of Portuguese, such as verb conjugation, objects, and phrases."
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to learn a language at the collegiate level. I definetely learned a lot about staying engaged
