filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",15/18 (83.33%),4.67,0.49,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (33.33%); Excellent: 10 (66.67%)
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",15/18 (83.33%),4.73,0.46,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (26.67%); Excellent: 11 (73.33%)
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",15/18 (83.33%),4.87,0.35,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (13.33%); Excellent: 13 (86.67%)
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,8,The course was difficult.,14/18 (77.78%),2.64,0.74,3.00,14,Strongly disagree: 1 (7.14%); Disagree: 4 (28.57%); Neither agree nor disagree: 8 (57.14%); Agree: 1 (7.14%); Strongly agree: 0 (0.00%)
PORTUGUE-101-01_Silva__Magda_Fall_2024.html,Fall 2024,PORTUGUE-101-01 : ELEMENTARY PORTUGUESE I.PORTUGUE-101-01.,Magda Silva,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,15/18 (83.33%),3.27,1.49,3.00,15,1: 2 (13.33%); 2: 3 (20.00%); 3: 3 (20.00%); 4: 4 (26.67%); 5: 2 (13.33%); 6: 1 (6.67%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",16/18 (88.89%),4.75,0.45,5.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (25.00%); Excellent: 12 (75.00%)
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",17/18 (94.44%),4.76,0.44,5.00,17,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (23.53%); Excellent: 13 (76.47%)
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",16/18 (88.89%),4.94,0.25,5.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (6.25%); Excellent: 15 (93.75%)
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,8,The course was difficult.,17/18 (94.44%),2.65,0.79,3.00,17,Strongly disagree: 1 (5.88%); Disagree: 6 (35.29%); Neither agree nor disagree: 8 (47.06%); Agree: 2 (11.76%); Strongly agree: 0 (0.00%)
PORTUGUE-102-01_Azevedo_Beleza-Schutzman__Cristina_Spring_2025.html,Spring 2025,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Cristina Azevedo Beleza-Schutzman,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,17/18 (94.44%),3.00,1.54,3.00,17,1: 3 (17.65%); 2: 5 (29.41%); 3: 2 (11.76%); 4: 4 (23.53%); 5: 2 (11.76%); 6: 1 (5.88%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",15/18 (83.33%),4.60,0.63,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (6.67%); Very Good: 4 (26.67%); Excellent: 10 (66.67%)
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",15/18 (83.33%),4.87,0.35,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (13.33%); Excellent: 13 (86.67%)
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",15/18 (83.33%),4.87,0.35,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (13.33%); Excellent: 13 (86.67%)
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,8,The course was difficult.,15/18 (83.33%),2.47,1.19,2.00,15,Strongly disagree: 4 (26.67%); Disagree: 4 (26.67%); Neither agree nor disagree: 3 (20.00%); Agree: 4 (26.67%); Strongly agree: 0 (0.00%)
PORTUGUE-102-01_Sanches_Duarte__Mateus_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Mateus Sanches Duarte,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,15/18 (83.33%),2.73,1.71,3.00,15,1: 6 (40.00%); 2: 1 (6.67%); 3: 2 (13.33%); 4: 4 (26.67%); 5: 1 (6.67%); 6: 1 (6.67%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
PORTUGUE-102-01_Silva__Magda_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Magda Silva,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
PORTUGUE-102-01_Silva__Magda_Spring_2024.html,Spring 2024,PORTUGUE-102-01 : ELEMENTARY PORTUGUESE II.PORTUGUE-102-01.,Magda Silva,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
