filename,semester,course,instructor,question_number,question_text,response_text
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Learned about concepts in a deeper depth that were touched on in class. Kelly was very informative and helpful to my learning as a PubPol student
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about memo writing, policymaking, and policy analysis."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","TA Kelly was amazing! I love her. Discussion was the best thing ever, and really helped me learn about policymaking."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to put together presentations, synthesize information, and present to classmates."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","THESE COMMENTS ARE RELATED TO THE DISCUSSION SECTION AND NOT 155 AS A WHOLE.1. I learned about the pubpol major and some of the key items to look out for as I navigate my way through fulfilling major requirements. 
2. I learned how to apply different theories of policy analysis to a specific topic or area. 
3. I learned how to generate sample questions during exam review days."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to do CBAs, and I learned about the sanford school and the public policy major."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Kelly was very welcoming to questions and went into the slides in great detail, and facilitated discussion well"
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",Team activities and memos facilitated my learning.
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","My TA, Kelly A, did a great job of facilitating discussion and keeping us engaged. I think that allowing the TAs to have more control over how the discussion is run makes it more enjoyable."
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","THESE COMMENTS ARE RELATED TO THE DISCUSSION SECTION AND NOT 155 AS A WHOLE.1. Keep the discussion about the pubpol major and some of the major things to look out for as you navigate your way through fulfilling major requirements. 
2. Keep the peer review memo activity - it was so, so helpful!"
