filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),1,12.50%,8/15 (53.33%),4.00,1.41,4.50
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,8/15 (53.33%),4.00,1.41,4.50
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),1,12.50%,8/15 (53.33%),4.00,1.41,4.50
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,25.00%,8/15 (53.33%),4.00,1.41,4.50
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),4,50.00%,8/15 (53.33%),4.00,1.41,4.50
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/15 (53.33%),4.00,1.07,4.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),1,12.50%,8/15 (53.33%),4.00,1.07,4.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),1,12.50%,8/15 (53.33%),4.00,1.07,4.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),3,37.50%,8/15 (53.33%),4.00,1.07,4.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,37.50%,8/15 (53.33%),4.00,1.07,4.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,8/15 (53.33%),4.75,0.46,5.00
PUBPOL-155D-01D_Katzenstein__Suzanne_Fall_2024.html,Fall 2024,PUBPOL-155D-01D : INTRO TO POLICY ANALYSIS.PUBPOL-155D-01D.,Suzanne Katzenstein,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,8/15 (53.33%),4.75,0.46,5.00
