uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987180_27466654,PSY-330S-01,DEVELOP YOUR LIFE.PSY-330S-01.,"Maxson, Pamela",Summer I 2023,PSYCHOLOGY,"12 of 16  responded (75.00%)



 View Report
                            



 Download PDF",PSY,99027,R3taZNKnw14IRH7UBESaUg%3d%3d,JeYRNm2f2uTDD388Zg37tQ%3d%3d,ypJMGDe24Vo0QaYiXJqNSA%3d%3d,2025-11-24T16:38:58.121533
149911_8928_11987206_27466650,PSY-103-01,DEVELOPMENTAL PSYCHOLOGY.PSY-103-01.,"Wilbourn, Makeba",Summer I 2023,PSYCHOLOGY,"5 of 22  responded (22.73%)



 View Report
                            



 Download PDF",PSY,99027,R3taZNKnw14IRH7UBESaUg%3d%3d,0V9LLTwpEzyh2c1%2bxNzx5Q%3d%3d,fZ4HrYByJWNq2lk7ggtgow%3d%3d,2025-11-24T16:38:58.121625
152527_9107_12076176_27675589,ECON-368A-01,BEHAVIORAL FINANCE.ECON-368A-01.PSY-368A-01.,"Rasiel, Emma",Summer II 2023,ECONOMICS,"13 of 15  responded (86.67%)



 View Report
                            



 Download PDF","ECON, PSY",98985,4TxgzUHg4Suz2MS8X7frbw%3d%3d,qZDCHF8aEbjLDEwbDAhtMw%3d%3d,2EzwzwJ4Sj%2b2wFsOkrpH4w%3d%3d,2025-11-24T16:38:58.121703
152527_9107_12076202_27675601,PSY-104-01,SOCIAL PSYCHOLOGY.PSY-104-01.,"Grisham, Emma",Summer II 2023,PSYCHOLOGY,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF",PSY,99027,4TxgzUHg4Suz2MS8X7frbw%3d%3d,hapvysvHbUnVhKRdLvAdBQ%3d%3d,lZjNhaXJT0kr9rycw5uhgw%3d%3d,2025-11-24T16:38:58.121782
152527_9107_12076203_27466654,PSY-330S-01,DEVELOP YOUR LIFE.PSY-330S-01.,"Maxson, Pamela",Summer II 2023,PSYCHOLOGY,"11 of 15  responded (73.33%)



 View Report
                            



 Download PDF",PSY,99027,4TxgzUHg4Suz2MS8X7frbw%3d%3d,1dmfYvO8q8hIS6cePsCLjQ%3d%3d,ypJMGDe24Vo0QaYiXJqNSA%3d%3d,2025-11-24T16:38:58.121856
152527_9107_12076205_27466654,PSY-330S-02,DEVELOP YOUR LIFE.PSY-330S-02.,"Maxson, Pamela",Summer II 2023,PSYCHOLOGY,"8 of 11  responded (72.73%)



 View Report
                            



 Download PDF",PSY,99027,4TxgzUHg4Suz2MS8X7frbw%3d%3d,uGiLsh44QJVG%2f0zmy5GaTg%3d%3d,ypJMGDe24Vo0QaYiXJqNSA%3d%3d,2025-11-24T16:38:58.121930
154503_9169_12241089_27991381,PSY-766-01L,APPLY ANALY VARIANCE.PSY-766-01L.,"Carrig, Madeline",Fall 2023,PSYCHOLOGY,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF",,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,dDZQdelpxHVc5AhoEWdm9Q%3d%3d,5Ru0qvupNCBHT%2fYYrpCuIQ%3d%3d,2025-11-24T16:38:58.122003
154503_9169_12241096_27991384,PSY-763S-01,P&N FIRST YEAR SEMINAR I.PSY-763S-01.,"Gaither, Sarah",Fall 2023,PSYCHOLOGY,"5 of 10  responded (50.00%)



 View Report
                            



 Download PDF",PSY,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,T2wSvwQHCk2xOOC3UVsxBQ%3d%3d,EfZy5ICAG8Vy8HNNaw7J8w%3d%3d,2025-11-24T16:38:58.122075
154503_9169_12241099_27445939,PSY-723S-01,P&N SURVEY I.PSY-723S-01.,"Marsh, Elizabeth",Fall 2023,PSYCHOLOGY,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF",PSY,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2f3gSl%2fSpZLSD2BOJ3lQsfA%3d%3d,jJtVPe0iwwRtNrJJtJsUrw%3d%3d,2025-11-24T16:38:58.122148
154503_9169_12241099_27991375,PSY-723S-01,P&N SURVEY I.PSY-723S-01.,"Hariri, Ahmad",Fall 2023,PSYCHOLOGY,"5 of 9  responded (55.56%)



 View Report
                            



 Download PDF",PSY,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,%2f3gSl%2fSpZLSD2BOJ3lQsfA%3d%3d,TEvwTFNiFhyEWUMz6TCoig%3d%3d,2025-11-24T16:38:58.122219
154503_9169_12241103_27991383,PSY-730S-02,FOUNDATIONS OF COG PSYCHOLOGY.PSY-730S-02.,"Seli, Paul",Fall 2023,PSYCHOLOGY,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF",PSY,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,mFpq1XCRTDD9b92be7WyWA%3d%3d,JRSFrI8DEuldL6XIOlx1dA%3d%3d,2025-11-24T16:38:58.122319
154503_9169_12241116_27991381,PSY-766-001,APPLY ANALY VARIANCE.PSY-766-001.,"Carrig, Madeline",Fall 2023,PSYCHOLOGY,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF",PSY,98882,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ei%2bdTdFbsjRA4Et7aLlRVQ%3d%3d,5Ru0qvupNCBHT%2fYYrpCuIQ%3d%3d,2025-11-24T16:38:58.122397
154503_9169_12241447_27991683,BA-925-02,BEHAVIOR DECISION THEORY.BA-925-02.PSY-716-02.,"Larrick, Rick",Fall 2023,FUQUA,"9 of 20  responded (45.00%)



 View Report
                            



 Download PDF","BA, PSY",98844,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,bYgR9vo96e2sXz8ijgW50g%3d%3d,kkpiuIWa8zDVsisX8TRldA%3d%3d,2025-11-24T16:38:58.122474
154503_9169_12241537_27991689,GLHLTH-660-01,GLOBAL MENTAL HEALTH.GLHLTH-660-01.CULANTH-611-01.PSY-611-01.RIGHTS-660-01.,"Knettel, Brandon",Fall 2023,GLHLTH,"13 of 26  responded (50.00%)



 View Report
                            



 Download PDF","GLHLTH, CULANTH, PSY, RIGHTS",98846,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,wNipdJfvhP%2f3txV2fF09QA%3d%3d,U04om3Cn1oMG3yIQHolHsw%3d%3d,2025-11-24T16:38:58.122550
154503_9169_12241568_27991733,LIT-650S-01,HISTORY OF MENTAL ILLNESS.LIT-650S-01.HISTORY-650S-01.NEUROSCI-650S-01.PSY-650S-01.,"Bassiri, Nima",Fall 2023,LITERATURE,"14 of 18  responded (77.78%)



 View Report
                            



 Download PDF","LIT, HISTORY, NEUROSCI, PSY",98858,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,iMOl4hBxa1wx2zta%2bAqBCg%3d%3d,gRFBCJ8VWFP172BM4DDsiw%3d%3d,2025-11-24T16:38:58.122625
