uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987234_27466685,AMES-326A-01,RELIGIOUS CITIZENSHIP.AMES-326A-01.RELIGION-371A-01.ICS-362A-01.POLSCI-395A-01.PUBPOL-339A-01.,"Lo, Mbaye",Summer I 2023,AMES,"9 of 9  responded (100.00%)



 View Report
                            



 Download PDF","AMES, RELIGION, ICS, POLSCI, PUBPOL",98965,R3taZNKnw14IRH7UBESaUg%3d%3d,8mMVIfOvzVxBYIhJDBwLpA%3d%3d,%2fWt4Q5%2boOYWs8P52yAUmbQ%3d%3d,2025-11-24T16:40:07.618736
152527_9107_12076199_27675600,PHIL-237A-01,POL PHIL OF GLOBALIZATION.PHIL-237A-01.POLSCI-297A-01.PUBPOL-204A-01.ECON-303A-01.,"Rosenberg, Alexander",Summer II 2023,PHILOSOPHY,"7 of 23  responded (30.43%)



 View Report
                            



 Download PDF","PHIL, POLSCI, PUBPOL, ECON",99022,4TxgzUHg4Suz2MS8X7frbw%3d%3d,VR74XlQyfCw7jcSYhNOYRw%3d%3d,2fSVEyuQfgHiMPlxQIEbMA%3d%3d,2025-11-24T16:40:07.618830
154503_9169_12241090_27991385,PUBPOL-803-04,POLICY ANALYSIS I.PUBPOL-803-04.,"McCorkle, Pope",Fall 2023,PPS,"13 of 24  responded (54.17%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,rrYB0bcDX%2baf6yB3N3bivw%3d%3d,%2f6%2fgvH2tDLVY9SZzA2L9Dw%3d%3d,2025-11-24T16:40:07.618911
154503_9169_12241114_27991343,PUBPOL-890-14,SPECIAL TOPICS.PUBPOL-890-14.,"Smokoski, Jessica",Fall 2023,PPS,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,mod%2bjOTJg4rYKFz10zvwZg%3d%3d,fgZQW%2fUsLkH1XL69SQ2jpg%3d%3d,2025-11-24T16:40:07.618989
154503_9169_12241117_27991386,PUBPOL-770-01,PUB FIN IN DEV/EMERGING ECONS.PUBPOL-770-01.,"James, Sebastian",Fall 2023,PPS,"6 of 11  responded (54.55%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,nv7LrLaWg4fDDZBu3SgfqQ%3d%3d,LWgD9QKuOyC6iRq7ex5B8A%3d%3d,2025-11-24T16:40:07.619064
154503_9169_12241119_27991391,PUBPOL-790-06,SPECIAL TOPICS IN IDP.PUBPOL-790-06.,"Schewel, Kerilyn",Fall 2023,PPS,"11 of 17  responded (64.71%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,ii%2bNSeYVV6MsRSt%2fYTfp7w%3d%3d,8zdRCh14J5GvsTZRVrQZJA%3d%3d,2025-11-24T16:40:07.619136
154503_9169_12241120_27991396,PUBPOL-700S-03,POLICY ANALYSIS OF DEVELOPMENT.PUBPOL-700S-03.,"Mirovitskaya, Natalia",Fall 2023,PPS,"10 of 15  responded (66.67%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,aG%2f0urbiJo7sYbd5%2fR0Liw%3d%3d,2YVGlgS157hniGqwxezEpw%3d%3d,2025-11-24T16:40:07.619240
154503_9169_12241121_27991390,PUBPOL-741D-02D,EMP ANALYSIS FOR ECON DEV.PUBPOL-741D-02D.,"Rangel, Marcos",Fall 2023,PPS,"10 of 19  responded (52.63%)



 View Report
                            



 Download PDF",,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,UiPOs4Ba%2f%2bFMbn6bYCRbZw%3d%3d,rfzstOky7DM3vjjGxRqCsQ%3d%3d,2025-11-24T16:40:07.619316
154503_9169_12241125_27991394,PUBPOL-878-01,INSTITUTIONS OF NAT SEC.PUBPOL-878-01.,"Burke, Frances",Fall 2023,PPS,"7 of 18  responded (38.89%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,T9eebv2beq%2fLcJyeHTczLg%3d%3d,X85ciFYHKNmm47Mjb7MACA%3d%3d,2025-11-24T16:40:07.619388
154503_9169_12241126_27991405,PUBPOL-857-01,QUALITATIVE METHODS.PUBPOL-857-01.,"Rogerson, Kenneth",Fall 2023,PPS,"30 of 34  responded (88.24%)



 View Report
                            



 Download PDF",PUBPOL,98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,z8Z3MJb2hTZQTnLmV7eLpw%3d%3d,Z%2b4PgL9uuXXOpZJh2Qusmw%3d%3d,2025-11-24T16:40:07.619458
