filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",22/25 (88%),4.68,0.57,5.00,22,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (4.55%); Very Good: 5 (22.73%); Excellent: 16 (72.73%)
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",23/25 (92%),4.70,0.47,5.00,23,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 7 (30.43%); Excellent: 16 (69.57%)
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",23/25 (92%),4.78,0.42,5.00,23,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (21.74%); Excellent: 18 (78.26%)
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,8,The course was difficult.,23/25 (92%),2.70,0.97,2.00,23,Strongly disagree: 1 (4.35%); Disagree: 11 (47.83%); Neither agree nor disagree: 6 (26.09%); Agree: 4 (17.39%); Strongly agree: 1 (4.35%)
AAAS-307-01_Ebia__Beletchei_Spring_2025.html,Spring 2025,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Beletchei Ebia,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,23/25 (92%),3.26,1.54,3.00,23,1: 2 (8.70%); 2: 5 (21.74%); 3: 8 (34.78%); 4: 4 (17.39%); 5: 3 (13.04%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (4.35%); 9: 0 (0.00%); 10+: 0 (0.00%)
AAAS-307-01_Piot__Charlie_Spring_2024.html,Spring 2024,AAAS-307-01 : DEVELOPMENT AND AFRICA.AAAS-307-01.CULANTH-307-01.ICS-308-01.PUBPOL-207-01.,Charlie Piot,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
