filename,semester,course,instructor,question_number,question_text,response_text
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-learning the scope of black radical traditions, not limited to America's Black ethnographers but also focused on global Black Ethnographers. 
-through classroom discussions, we analyzed literature, visiting geographic locations, films, current events, and history related to BRT
-engage with"
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- I wo;uld like to say my focus was primarily on themes of humanism, identity, and racial capital. Each of these themes are directly connected to one another and approach the idea of the black radical tradition in various ways. For humanism, we spent the course reading Fanon, Robinson, Wilderson and other black intellectual thinkers who are redefining what it means to be and exist outside the concept of being human. This directly leads to our understanding of how this would affect idenity, as if one is not even considered to be human or considered to be lesser than human, their would be a sort of inferiority complex or psychological notion of subjugation that would become instilled in a community. Thus, the ideas surrounding racial capital come into the foray, for in order to further advance the rather insatiable hunger of capitalism and its systems, a form of racial order or hierarchy only benefits profit and labor. This course helped me in connecting some of these ideas effectively and providing thoughtful analysis when bringing together these subjects."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned different framing of the Black radical tradition.
I learned insights into black critical theory from a non-US perspective as well as a non-male perspective.
I learned alternative views of capitalism and its effects on people of color."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",A skill this class taught me was to think more critically and make broader connections between different nations. I appreciated the global aspect of this course.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to critically read complex texts with terms that I had never encountered before. I also developed my skills of active listening skills and engaging in constructive conversation making.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I learned about significant Black ethnographers and the epistemology of Black consciousness.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",- Professor Makhulu was always very engaged with the class. Her insights led to fruitful discussions and various other questions popping up. I believe that in humanities courses open discussions are the best way to facilitate reading comprehension with particularly tough and complex subject material.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I enjoyed that students were responsible for leading class discussions. I also appreciated the use of films and other digital media to enhance discussions.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I appreciated how each week had its own modules with the readings uploaded. It made things straightforward to follow along and connect with as the semester went on. With this method, we were able to follow a linage throughout."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor really encouraged us to wrestle with very difficult and complex questions as a group so that we could build off of each other's interpretations. I really liked the open conversations that we had every class and that we were each given the opportunity to lead one of these discussions. I also really appreciated the in-class screenings that we did because I thought that all of the films were very complementary to the material.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,Class discussions
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,-Our discussions were always really engaging. Prof. Makhulu's incorporations of guests to our discussion sections was always a delight as well.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"The class was very intellectually stimulating.  Helped me to reframe, modernity, capitalism, colonialism and the Black radical tradition. Engaged with writers that I would have otherwise have not been exposed to."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Every week I learned something new, which made me excited for class. The instructor is very well-versed in all that she teaches which makes it a wonderful and stimulating environment."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This course covered concepts that I had never encountered before. It provided an open space for me to engage with these concepts and think in critical ways that I had never had the chance to do before.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,An excellent course to take if you would like to be challenged and learn about great topics and significant contributors to Black ethnographers.
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,"- Make sure to do your readings and actually retain what you have read. Otherwise, the discussions will be rather boring and drag on."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,"The course helped me to change my perspective and thoughts around the Black radical tradition. There were tough reads and reading demands on the students, but they discussions benefitted from these readings as well as the professors insights."
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,You will learn so much!
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,This was a fantastic course for those who are ready to tackle really tough and interesting concepts and ideas. Be an active listener and consistently engage with your classmates because you can learn a lot from one another.
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. Understanding various points of view of Iranian history
2. The beauty of Persian-Sufi poetry
3. How to better write a paper"
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",The ability  to introspect within the past in real time and take those contemporary views and applying them to Iranian history in the modern sense. Understanding the countries history is a skill in itself considering how intricate it is.
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to read and analyze Persian poetry, and I learned about the history of Iran up to modern times."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to manage my time effectively when analyzing dense readings. I also learned the importance of language and critical thinking when receiving information from Westernized media regarding various cultures in the Middle East. I also learned how to think from a more philosophical level, especially in regards to spirituality. Expanding my mind in this way helped me understand Iran and their history."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Prior to this course, I had very little knowledge about Iran and its history. In this course, I learned about famous Iranian poets (Rumi, Sa'di, Hafez), the rise of Shi'ism in Iran during the Safavid empire, and the conditions that led to the 1979 Iranian Revolution."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This class further taught me ways of thinking and viewing the world and to challenge more Western and orientalist narratives, and also to rethink what modernity is and who defines or has defined it. I learned about Iranian poetry, the revolution, and historical relations between the US and Iran and how that has been altered."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-I learned about the history of Iran
-I learned about why Iran is the way it is today (government and social life) 
-I learned how much Western powers, especially the US and Britain, influenced and hurt Iran in the past that heavily affected their current state."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","In this course I developed learning from different perspectives, which was something facilitated early on with our first reading of Jasmine and Stars. Outside of the Orientalist perspective that is sometimes favored in the West, my eyes were completely opened to the complexity and beauty of Iran from its beginning. I developed more close-reading skills, especially when it came to the translated Persian works that we read in Radical Love and Rose Garden. I found that by the end of the class, I could read these, and similar works, more quickly while being able to understand its relevance/meaning in the greater Sufi tradition."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Better understanding of global politics, non-westernized view of Iran, and larger library of poetry."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Instructor is always happy to answer questions and explain things in more detail which is helpful. I like how he is able to explain two points of views of a topic, even if he disagrees with one he will still explain the logic of the other side if you ask."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",We would often have periods in class where questions on relevant topics or subject matter could be asked. This was very helpful to put information into context for paper assignments.
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The instructor facilitated learning by lecturing and having discussions. I think it was helpful to talk about current events related to Iran at the start of every class to connect the history of Iran to the present.
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The instructor answered many of our questions from assigned passages. He also used relevant examples and analogies to break down class material. We also had opportunities to discuss the news, allow us to dissect parallels within our own government. All of these methods should be kept for years."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","The course was set up in a seminar format with an emphasis on commenting/asking questions about the reading. I enjoyed this format because it forced me to think critically about the works we were studying. In this course, I also felt like I could ask questions on anything (both relating to course material or to current events), which I found to be incredibly engaging."
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really like how Prof. Safi conducts the class in the sense that the first part of the class is reserved for general discussion about national or world news that relates to our course, and we later see how the history of Iran/America has led to these events. He conducts all (I think?) his classes in this manner, as this is the second class I'm taking with him, and I think it is very beneficial to our learning, and it's also just nice to have a group discussion."
