filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/7 (85.71%),4.67,0.52,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (33.33%); Excellent: 4 (66.67%)
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",5/7 (71.43%),4.60,0.55,5.00,5,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (40.00%); Excellent: 3 (60.00%)
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",6/7 (85.71%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,8,The course was difficult.,5/7 (71.43%),3.80,0.84,4.00,5,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 2 (40.00%); Agree: 2 (40.00%); Strongly agree: 1 (20.00%)
AAAS-503S-01_Makhulu__Anne-Maria_Fall_2024.html,Fall 2024,AAAS-503S-01 : THE BLACK RADICAL TRADITION.AAAS-503S-01.CULANTH-503S-01.ICS-504S-01.POLSCI-589S-01.RELIGION-503S-01.,Anne-Maria Makhulu,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6/7 (85.71%),5.83,0.98,6.00,6,1: 0 (0.00%); 2: 0 (0.00%); 3: 0 (0.00%); 4: 1 (16.67%); 5: 0 (0.00%); 6: 4 (66.67%); 7: 1 (16.67%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AMES-123-01_Safi__Omid_Spring_2025.html,Spring 2025,AMES-123-01 : HISTORY AND CULTURE OF IRAN.AMES-123-01.HISTORY-248-01.RELIGION-283-01.,Omid Safi,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
