filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",8/13 (61.54%),3.75,0.71,4.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (37.50%); Very Good: 4 (50.00%); Excellent: 1 (12.50%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/13 (61.54%),3.75,0.71,4.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (37.50%); Very Good: 4 (50.00%); Excellent: 1 (12.50%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/13 (61.54%),3.88,0.64,4.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (25.00%); Very Good: 5 (62.50%); Excellent: 1 (12.50%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,8/13 (61.54%),4.13,0.64,4.00,8,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 1 (12.50%); Agree: 5 (62.50%); Strongly agree: 2 (25.00%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/13 (61.54%),5.88,1.73,6.50,8,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (12.50%); 4: 1 (12.50%); 5: 1 (12.50%); 6: 1 (12.50%); 7: 3 (37.50%); 8: 1 (12.50%); 9: 0 (0.00%); 10+: 0 (0.00%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/10 (60%),4.67,0.52,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (33.33%); Excellent: 4 (66.67%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/10 (60%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",6/10 (60%),4.83,0.41,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 1 (16.67%); Excellent: 5 (83.33%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,5/10 (50%),3.60,0.55,4.00,5,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 2 (40.00%); Agree: 3 (60.00%); Strongly agree: 0 (0.00%)
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6/10 (60%),7.50,1.52,7.50,6,1: 0 (0.00%); 2: 0 (0.00%); 3: 0 (0.00%); 4: 0 (0.00%); 5: 0 (0.00%); 6: 2 (33.33%); 7: 1 (16.67%); 8: 2 (33.33%); 9: 0 (0.00%); 10+: 1 (16.67%)
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",16/17 (94.12%),4.13,0.72,4.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (18.75%); Very Good: 8 (50.00%); Excellent: 5 (31.25%)
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",16/17 (94.12%),4.19,0.66,4.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (12.50%); Very Good: 9 (56.25%); Excellent: 5 (31.25%)
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",9/17 (52.94%),3.78,0.67,4.00,9,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (33.33%); Very Good: 5 (55.56%); Excellent: 1 (11.11%)
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,8,The course was difficult.,16/17 (94.12%),2.38,0.89,2.50,16,Strongly disagree: 3 (18.75%); Disagree: 5 (31.25%); Neither agree nor disagree: 7 (43.75%); Agree: 1 (6.25%); Strongly agree: 0 (0.00%)
SPANISH-439SA-01_Canteli_VigÃ³n__Marcos_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Marcos Canteli Vigón,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,16/17 (94.12%),4.00,1.51,4.00,16,1: 0 (0.00%); 2: 2 (12.50%); 3: 5 (31.25%); 4: 3 (18.75%); 5: 5 (31.25%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 1 (6.25%); 9: 0 (0.00%); 10+: 0 (0.00%)
SPANISH-439SA-01_Milian__Claudia_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Claudia Milian,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
SPANISH-439SA-01_Milian__Claudia_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Claudia Milian,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
SPANISH-439SA-01_Milian__Claudia_Summer_I_2023.html,Summer I 2023,SPANISH-439SA-01 : GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,Claudia Milian,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",16/17 (94.12%),4.13,0.72,4.00,16,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 3 (18.75%); Very Good: 8 (50.00%); Excellent: 5 (31.25%)
