filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),3,37.50%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,50.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),1,12.50%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),3,37.50%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),4,50.00%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),1,12.50%,8/13 (61.54%),3.75,0.71,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,8/13 (61.54%),3.88,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,8/13 (61.54%),3.88,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),2,25.00%,8/13 (61.54%),3.88,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),5,62.50%,8/13 (61.54%),3.88,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),1,12.50%,8/13 (61.54%),3.88,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,Strongly disagree,(1),0,0.00%,8/13 (61.54%),4.13,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,Disagree,(2),0,0.00%,8/13 (61.54%),4.13,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,Neither agree nor disagree,(3),1,12.50%,8/13 (61.54%),4.13,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,Agree,(4),5,62.50%,8/13 (61.54%),4.13,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,8,The course was difficult.,Strongly agree,(5),2,25.00%,8/13 (61.54%),4.13,0.64,4.00
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),0,0.00%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),1,12.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),1,12.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),1,12.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),1,12.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),3,37.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),1,12.50%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2024.html,Summer I 2024,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,8/13 (61.54%),5.88,1.73,6.50
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
FRENCH-346AS-01_Saliot__Anne-Gaelle_Summer_I_2025.html,Summer I 2025,FRENCH-346AS-01 : FRENCH LITERATURE.FRENCH-346AS-01.,Anne-Gaelle Saliot,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/10 (60%),4.67,0.52,5.00
