uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12281875_28111720,RUSSIAN-203-01,INTERMEDIATE RUSSIAN I.RUSSIAN-203-01.,"Miroshnikova, Marina",Fall 2023,SLAVICS,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF",RUSSIAN,99031,CtmkEaIRhsSP75R5T115eg%3d%3d,medmdcyzgMwbGOTbP2zI0A%3d%3d,EEXeouMMHLN%2bM2T6KrpS3Q%3d%3d,2025-11-24T16:44:43.254443
153858_9169_12282727_27991721,PUBPOL-224-01,RUSSIA IN THE WORLD.PUBPOL-224-01.HISTORY-237-01.POLSCI-259-01.RUSSIAN-237-01.SES-237-01.,"Miles, Simon",Fall 2023,PPS,"26 of 31  responded (83.87%)



 View Report
                            



 Download PDF","PUBPOL, HISTORY, POLSCI, RUSSIAN, SES",99026,CtmkEaIRhsSP75R5T115eg%3d%3d,FkO5cxQqD46MDUmj7Y34yg%3d%3d,rQC6i6PewdHj1l2ruT737g%3d%3d,2025-11-24T16:44:43.254557
153858_9169_12282926_27445884,RUSSIAN-399-01,GLOBAL RUSSIA.RUSSIAN-399-01.CULANTH-399-01.ICS-399-01.PUBPOL-223-01.,"Lowry, Yana",Fall 2023,SLAVICS,"10 of 12  responded (83.33%)



 View Report
                            



 Download PDF","RUSSIAN, CULANTH, ICS, PUBPOL",99031,CtmkEaIRhsSP75R5T115eg%3d%3d,5IW7APQfdi3EP3R%2bACMWGA%3d%3d,epQeBs%2fHSLayzCR4wMh2EA%3d%3d,2025-11-24T16:44:43.254650
153858_9169_12282984_28112108,RUSSIAN-325-01,TOLSTOY AND RUSSIAN EXPERIENCE.RUSSIAN-325-01.HISTORY-277-01.,"Apollonio, Carol",Fall 2023,SLAVICS,"10 of 18  responded (55.56%)



 View Report
                            



 Download PDF","RUSSIAN, HISTORY",99031,CtmkEaIRhsSP75R5T115eg%3d%3d,%2fKrS3SWwJNFl3%2bYF5jW5vw%3d%3d,cS4y3fGUQ%2ba96OxQsYKc1w%3d%3d,2025-11-24T16:44:43.254755
161337_9470_12750894_28112108,RUSSIAN-335-01,ONE GREAT BOOK.RUSSIAN-335-01.ICS-339-01.LIT-335-01.,"Apollonio, Carol",Spring 2024,SLAVICS,"15 of 27  responded (55.56%)



 View Report
                            



 Download PDF","RUSSIAN, ICS, LIT",99031,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,OQ6t46qNDt3I%2fAOMa3qCbg%3d%3d,cS4y3fGUQ%2ba96OxQsYKc1w%3d%3d,2025-11-24T16:44:43.254845
161337_9470_12751212_27445805,LINGUIST-473S-01,NEUROSCIENCE & MULTILINGUALISM.LINGUIST-473S-01.NEUROSCI-439S-01.RUSSIAN-439S-01.SCISOC-439S-01.,"Andrews, Edna",Spring 2024,LINGUISTCS,"5 of 17  responded (29.41%)



 View Report
                            



 Download PDF","LINGUIST, NEUROSCI, RUSSIAN, SCISOC",99006,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,UVWyGEd1xwDxxLIuJdaweA%3d%3d,5%2bZvp%2bvHl65e2z%2fYB%2feIKQ%3d%3d,2025-11-24T16:44:43.254926
171550_9973_13685580_28807704,RUSSIAN-203-01,INTERMEDIATE RUSSIAN I.RUSSIAN-203-01.,"Smirnova, Daria",Fall 2024,SLAVICS,"8 of 10  responded (80.00%)



 View Report
                            



 Download PDF",RUSSIAN,99031,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,Ig5S%2f6lLDVoDA1QshiaXBw%3d%3d,rwVrydAmfQHBhgie5jS3dw%3d%3d,2025-11-24T16:44:43.255004
171550_9973_13685619_28807704,RUSSIAN-301S-01,CONTEM RUSSIAN COMP/READ.RUSSIAN-301S-01.,"Smirnova, Daria",Fall 2024,SLAVICS,"6 of 6  responded (100.00%)



 View Report
                            



 Download PDF",RUSSIAN,99031,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,1ArxV13F0i57d0q0VbPY7Q%3d%3d,rwVrydAmfQHBhgie5jS3dw%3d%3d,2025-11-24T16:44:43.255080
171550_9973_13686572_27991365,RUSSIAN-318-01,FOLLOW THE RUBLE.RUSSIAN-318-01.ECON-213-01.,"Flaherty, Jennifer",Fall 2024,SLAVICS,"7 of 7  responded (100.00%)



 View Report
                            



 Download PDF","RUSSIAN, ECON",99031,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,AsQVlhjNv8%2ff%2b4JlekBinA%3d%3d,2pZ8h8r78qsBq8eH0qOBUQ%3d%3d,2025-11-24T16:44:43.255155
171550_9973_13686741_28807704,RUSSIAN-399-01,GLOBAL RUSSIA.RUSSIAN-399-01.CULANTH-399-01.ICS-399-01.LIT-309-01.PUBPOL-223-01.,"Smirnova, Daria",Fall 2024,SLAVICS,"9 of 15  responded (60.00%)



 View Report
                            



 Download PDF","RUSSIAN, CULANTH, ICS, LIT, PUBPOL",99031,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,4%2fLFGu%2bBGYYE%2fiHKd9VYqw%3d%3d,rwVrydAmfQHBhgie5jS3dw%3d%3d,2025-11-24T16:44:43.255233
171550_9973_13686823_28111705,THEATRST-282S-01,WRITING MOVIES: ADAPTATION.THEATRST-282S-01.CINE-302S-01.ENGLISH-227S-01.RUSSIAN-282S-01.VMS-321S-01.,"McAuliffe, Johanna (Jody)",Fall 2024,THEATRST,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF","THEATRST, CINE, ENGLISH, RUSSIAN, VMS",99035,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,FM64NTCnOmRGnVq4p6cI1w%3d%3d,7wTlqWlHpIDPDXO0f6K7DQ%3d%3d,2025-11-24T16:44:43.255311
179281_10319_14260955_28807704,RUSSIAN-204-01,INTERMEDIATE RUSSIAN II.RUSSIAN-204-01.,"Smirnova, Daria",Spring 2025,SLAVICS,"7 of 10  responded (70.00%)



 View Report
                            



 Download PDF",RUSSIAN,99031,z7Dsht4caaqNbXz0r4KoNA%3d%3d,%2byhz9NmPohiecSTcRDDITg%3d%3d,rwVrydAmfQHBhgie5jS3dw%3d%3d,2025-11-24T16:44:43.255388
179281_10319_14261971_30187719,RUSSIAN-371S-01,RUSSIAN FICTION/FILM.RUSSIAN-371S-01.LIT-370S-01.,"Kartashova, Liubov",Spring 2025,SLAVICS,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","RUSSIAN, LIT",99031,z7Dsht4caaqNbXz0r4KoNA%3d%3d,3DfwHv2GEOsyJg10Y8YYPQ%3d%3d,l3bqHzYUcb4YeBdT48cXsw%3d%3d,2025-11-24T16:44:43.255463
179281_10319_14262215_28111964,LINGUIST-202-01,LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,"Baran, Dominika",Spring 2025,LINGUISTCS,"14 of 24  responded (58.33%)



 View Report
                            



 Download PDF","LINGUIST, CULANTH, ICS, RUSSIAN",99006,z7Dsht4caaqNbXz0r4KoNA%3d%3d,1w9eB9iBh9Xu%2b1RW%2bSNhbA%3d%3d,sxAo%2fhTe8Ht%2fQC1RmFGktg%3d%3d,2025-11-24T16:44:43.255538
