filename,semester,course,instructor,question_number,question_text,response_text
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","The main thing I learned was how to read old texts like Karl Marx and somewhat comprehend them. I also learned to create discussion questions from each text we read, which I knew theoretically but not to the level I do know. Finally, I learned a lot about Russian history."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",critical thinking and reading comprehension. learned to be open minded when confronting western media biases.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","critical thinking, thinking about the humanities topics (something I am not used to because I am pre-med)"
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to analyze history and ask complex questions about the situations we learn about. I learned how to take knowledge from history and apply it to the present day, or to events that happened already."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This course taught me how to view information from new perspectives, especially in a cultural and historical lens, and taught me to challenge biases in my previously learned knowledge."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","This class helped me analyze texts a lot and also connect them to either current events, other texts or important historical moments. The two presentations we had to do and and the discussions that came out of them were very effective and always very interesting."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",I learned how to connect history to the events of today. I gained an depth overview of Russian history. I got better at having thoughtful discussions about readings.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. How to ask thoughtful questions about a text, video, or film that relates the subject of that media to our course
2. Stalin as a leader. His personal background, how he came to power, the main events that happened under his leadership (and many of their causes/effects), and how the Soviet Union dealt with his legacy.
3. How to read a primary source, contextualize its meaning, and relate it to other documents we read in the class."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I liked the pacing, which I know is hard for a modern history class. The readings were nice in providing advanced knowledge of what we would learn, then clarifying them in the next class."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",reading questions were helpful as they kept me accountable for the readings the presentation were also helpful in fostering a comfortable class enviorment for speaking up.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","very approachable and answers all questions thoroughly, Dr. Krylova welcomes different prospectives and makes sure that the reading cover different views (something I would keep for the future)"
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","yes the whole class is very good and informative. I have learned things that I honestly would have never knew. And some surface level stuff I had heard about but never really knew the full story, but now I do."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I thought the class discussions was the most engaging part of the course, and taught me how to effectively communicate my ideas while interacting with other's ideas."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",The course is structured in a very good way where we slowly moved through Russian history understanding all the key components that have led to it being like it is today. The two discussion questions due at every class where also a good way to check if we were picking up the material like we should. I would keep the questions for sure.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I thought the lectures were very engaging. I like that Dr. Krylova didn't just read off of slides, but instead made class feel like a conversation led by her. I also think the readings were very well connected to lecture and provided you with a good foundation for each class. I think the student presentations were a good way to initiate conversation as well."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","1. Everyone sharing questions at the start of the class was a nice way to start thinking about the texts and informed the lecture our professor gave.
2. The essay about the ""Dizzy with Success"" speech did a good job synthesizing the main themes of the year so far into a short essay.
3. Lectures were always very engaging and full of new and useful material."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"Every class, I learned something new, often about things I'd never heard before. This made it interesting every day, and I enjoyed that."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The material in particular I find to be extremely interesting.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The class focused on very important topics and events (especially in the present day). The readings and interviews/videos were very high level and allowed me to think critically
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"my peers all offer great insight and question things I would never think to. And the professor is very detailed and explanatory, which makes you think a lot."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,This class was stimulating in that I had to view history from perspectives different than the US-based lens I typically learned through.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,We read from multiple different perspectives which kept the readings fresh. The presentations and hearing what other people thought was always very interesting.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,The connections between the material we were learning in class and today's current events made this class very engaging. Dr. Krylova's incredible depth of knowledge made her lectures very interesting.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,"This class taught me a lot about the Soviet Union and post-USSR Russia in a lot of depth. The material from the older time periods was always extremely interesting and presented in a way where we could understand how the Soviet leaders created a policy while continuing to think critically about that policy, which helped me take away a new perspective on a lot of our material. With the more recent material, we learned a perspective of Putin and Ukraine that is not presented in American newspapers or stories and that challenged this convention narrative. Overall, I think this class has helped me develop a much more nuanced understanding of the USSR, Russia, and Ukraine and has made me excited to learn more about the region in the future."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,"This is a really interesting class, I would highly recommend it for anyone who is interested in learning about how we (humans, not Americans or Russians) got to the geopolitical space we are in today. It won't be easy, but, as the class goes on, you might get more comfortable and truly enjoy it."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,take if you have interest in learning about the other perspectives that shaped the cold war and even the modern war in ukraine.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,Take the course!!! It will expose you to the topics you probably have never interacted with at this level of depth
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,you will learn a lot and the course moves fast so you have to keep up. there is a lot of history to be learned
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,I would say entering the course with an open mind is the most important part.
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,"They're going to learn a lot, read a lot and they should make the most out of the presentation discussions."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,"Not only will you gain an in depth understanding of Russian history in a very engaging way, you will see how that history connects to the rest of the world. Russian history is very important in understanding the current events of today."
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,"While the readings can take some time, they are very rewarding. You learn a lot in this class, and you don't need a background in Soviet history to take it."
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I developed new ways of studying languages through looking at proto-languages and analyzing similarities across variations. I had to become familiar with new languages, which expanded my thinking outside of English, and I became better at demonstrating evidence in a way that aligned with the class."
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",Analysis on different languages and the way they relate to each other and cultures
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Linguistic fundamentals
Comparative analysis
Patterns of language"
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned a lot of things about all sorts of languages. I learned about the Formosan provenance of Austronesian languages, about word-initial consonant tense changes in Malagasy, and about the difference between ergative and nominative-accusative alignment in K'iche and other Native American languages."
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned much more about how languages are divided into families, specific characteristics of multiple language families, and how to conduct an interview with an informant for a linguistics research project."
