filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,7/9 (77.78%),4.71,0.49,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,7/9 (77.78%),4.71,0.49,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,7/9 (77.78%),4.71,0.49,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),2,28.57%,7/9 (77.78%),4.71,0.49,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,71.43%,7/9 (77.78%),4.71,0.49,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,8/9 (88.89%),4.38,0.52,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,8/9 (88.89%),4.38,0.52,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),0,0.00%,8/9 (88.89%),4.38,0.52,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),5,62.50%,8/9 (88.89%),4.38,0.52,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,37.50%,8/9 (88.89%),4.38,0.52,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,8/9 (88.89%),4.63,0.52,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,8/9 (88.89%),4.63,0.52,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,8/9 (88.89%),4.63,0.52,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),3,37.50%,8/9 (88.89%),4.63,0.52,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),5,62.50%,8/9 (88.89%),4.63,0.52,5.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,,,
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,8,The course was difficult.,Strongly disagree,(1),0,0.00%,8/9 (88.89%),3.50,0.53,3.50
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,8,The course was difficult.,Disagree,(2),0,0.00%,8/9 (88.89%),3.50,0.53,3.50
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,8,The course was difficult.,Neither agree nor disagree,(3),4,50.00%,8/9 (88.89%),3.50,0.53,3.50
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,8,The course was difficult.,Agree,(4),4,50.00%,8/9 (88.89%),3.50,0.53,3.50
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,8,The course was difficult.,Strongly agree,(5),0,0.00%,8/9 (88.89%),3.50,0.53,3.50
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,1,(1),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,2,(2),2,25.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,3,(3),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,4,(4),4,50.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,5,(5),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6,(6),2,25.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7,(7),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8,(8),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,9,(9),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
HISTORY-138-01_Krylova__Anna_Spring_2025.html,Spring 2025,HISTORY-138-01 : FROM STALIN TO PUTIN.HISTORY-138-01.RUSSIAN-224-01.,Anna Krylova,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10+,(10),0,0.00%,8/9 (88.89%),4.00,1.51,4.00
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,14/24 (58.33%),4.00,0.88,4.00
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,14/24 (58.33%),4.00,0.88,4.00
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),5,35.71%,14/24 (58.33%),4.00,0.88,4.00
LINGUIST-202-01_Baran__Dominika_Spring_2025.html,Spring 2025,LINGUIST-202-01 : LANGUAGES OF THE WORLD.LINGUIST-202-01.CULANTH-202-01.ICS-210-01.RUSSIAN-362-01.,Dominika Baran,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),4,28.57%,14/24 (58.33%),4.00,0.88,4.00
