uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
154503_9169_12241632_27991417,PUBPOL-590S-01,ADV TOP IN PUBLIC POLICY.PUBPOL-590S-01.SCISOC-590S-01.,"Sallstrom, Laura",Fall 2023,PPS,"8 of 17  responded (47.06%)



 View Report
                            



 Download PDF","PUBPOL, SCISOC",98296,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,aBKMirbOxjynWZCkk1ExrQ%3d%3d,3T5dzncnjEYrrSC8tPqVCA%3d%3d,2025-11-24T16:44:49.640651
153858_9169_12282387_28111903,SCISOC-190FS-01,SPECIAL TOPICS IN SCISOC.SCISOC-190FS-01.,"Bradley, Don",Fall 2023,IGSP,"10 of 16  responded (62.50%)



 View Report
                            



 Download PDF",,99001,CtmkEaIRhsSP75R5T115eg%3d%3d,08xzbCtElKIgf2tcR%2f7RrA%3d%3d,bevssvu0PE53tG7pxIZGVg%3d%3d,2025-11-24T16:44:49.640782
153858_9169_12282387_28111906,SCISOC-190FS-01,SPECIAL TOPICS IN SCISOC.SCISOC-190FS-01.,"Andolsek, Kathryn",Fall 2023,IGSP,"10 of 16  responded (62.50%)



 View Report
                            



 Download PDF",,99001,CtmkEaIRhsSP75R5T115eg%3d%3d,08xzbCtElKIgf2tcR%2f7RrA%3d%3d,pHIg20CJjoXSDUuH%2f7dcDA%3d%3d,2025-11-24T16:44:49.640867
153858_9169_12282437_28111909,SCISOC-197FS-01,OUR RELATIONSHIPS WITH TECH.SCISOC-197FS-01.,"Delong, Mark",Fall 2023,IGSP,"8 of 14  responded (57.14%)



 View Report
                            



 Download PDF",,99001,CtmkEaIRhsSP75R5T115eg%3d%3d,HO6tkncVXymLULuxgmI0Fg%3d%3d,oS3G45572alBL7Jl12ZJYg%3d%3d,2025-11-24T16:44:49.640952
153858_9169_12282742_27466668,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Park, Isaac",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,SfarxJWNcFzfy4sT2IFwZQ%3d%3d,2025-11-24T16:44:49.641034
153858_9169_12282742_28112113,I&E-290-02,SPECIAL TOPICS.I&E-290-02.ISS-290-02.SCISOC-290-02.,"Peters, Amy",Fall 2023,I&E,"15 of 60  responded (25.00%)



 View Report
                            



 Download PDF","I&E, ISS, SCISOC",98999,CtmkEaIRhsSP75R5T115eg%3d%3d,1K5EVh8%2bUCCvTiV7o10dag%3d%3d,F7V58YLk%2fCQrLAz9ye8yDg%3d%3d,2025-11-24T16:44:49.641148
153858_9169_12282817_28112052,HISTORY-371-01,FOOD IN GLOBAL HISTORY.HISTORY-371-01.GLHLTH-361-01.SCISOC-371-01.,"Humphreys, Margaret",Fall 2023,HISTORY,"5 of 10  responded (50.00%)



 View Report
                            



 Download PDF","HISTORY, GLHLTH, SCISOC",98997,CtmkEaIRhsSP75R5T115eg%3d%3d,cWNnpkUj5lVXiXc9VBhDEQ%3d%3d,CJRJ72OShMqCfZVopxGJnQ%3d%3d,2025-11-24T16:44:49.641255
153858_9169_12282824_28112117,EDUC-190FS-01,FOCUS SPECIAL TOPICS.EDUC-190FS-01.SCISOC-190FS-02.,"Sangvai, Devdutta",Fall 2023,EDUCATION,"17 of 18  responded (94.44%)



 View Report
                            



 Download PDF",,98987,CtmkEaIRhsSP75R5T115eg%3d%3d,PNThoMW0lpEI%2faFgWQT95A%3d%3d,i2LqdlIgNXdGXHK79meXoQ%3d%3d,2025-11-24T16:44:49.641342
153858_9169_12282839_28112042,GSF-89S-03,FIRST-YEAR SEMINAR (TOP).GSF-89S-03.CULANTH-89S-04.SCISOC-89S-03.,"Wilson, Ara",Fall 2023,GSF,"6 of 18  responded (33.33%)



 View Report
                            



 Download PDF","GSF, CULANTH, SCISOC",98996,CtmkEaIRhsSP75R5T115eg%3d%3d,Bt6A%2fquK4a6HtxDAITfDPw%3d%3d,2hexrFtqR6Ms4QJbnuA6iA%3d%3d,2025-11-24T16:44:49.641422
153858_9169_12282905_27445858,PUBPOL-165-01,INTRO TO US HEALTH CARE SYSTM.PUBPOL-165-01.HLTHPOL-165-01.SCISOC-165-01.,"Boucher, Nathan",Fall 2023,PPS,"19 of 53  responded (35.85%)



 View Report
                            



 Download PDF","PUBPOL, HLTHPOL, SCISOC",99026,CtmkEaIRhsSP75R5T115eg%3d%3d,MI6Tw8K5Qb8NlnCX90uNFw%3d%3d,PjURNxNB99DE2uExMkRjXA%3d%3d,2025-11-24T16:44:49.641500
