filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",19/75 (25.33%),4.47,0.70,5.00,19,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (10.53%); Very Good: 6 (31.58%); Excellent: 11 (57.89%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",19/75 (25.33%),4.05,0.97,4.00,19,Poor: 0 (0.00%); Marginal: 1 (5.26%); Average: 5 (26.32%); Very Good: 5 (26.32%); Excellent: 8 (42.11%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",19/75 (25.33%),4.53,0.70,5.00,19,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 2 (10.53%); Very Good: 5 (26.32%); Excellent: 12 (63.16%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,8,The course was difficult.,19/75 (25.33%),2.42,1.02,2.00,19,Strongly disagree: 4 (21.05%); Disagree: 6 (31.58%); Neither agree nor disagree: 6 (31.58%); Agree: 3 (15.79%); Strongly agree: 0 (0.00%)
AAAS-261D-001_Royal__Charmaine_Fall_2024.html,Fall 2024,"AAAS-261D-001 : RACE, GENOMICS, AND SOCIETY.AAAS-261D-001.BIOLOGY-261D-001.CULANTH-261D-001.GLHLTH-258D-001.SCISOC-258D-001.VMS-274D-001.",Charmaine Royal,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,19/75 (25.33%),2.84,1.68,3.00,19,1: 5 (26.32%); 2: 4 (21.05%); 3: 5 (26.32%); 4: 1 (5.26%); 5: 2 (10.53%); 6: 2 (10.53%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",10/15 (66.67%),4.10,0.57,4.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (10.00%); Very Good: 7 (70.00%); Excellent: 2 (20.00%)
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",10/15 (66.67%),4.10,0.57,4.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (10.00%); Very Good: 7 (70.00%); Excellent: 2 (20.00%)
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",10/15 (66.67%),4.10,0.57,4.00,10,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (10.00%); Very Good: 7 (70.00%); Excellent: 2 (20.00%)
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,8,The course was difficult.,10/15 (66.67%),2.90,0.88,3.00,10,Strongly disagree: 0 (0.00%); Disagree: 4 (40.00%); Neither agree nor disagree: 3 (30.00%); Agree: 3 (30.00%); Strongly agree: 0 (0.00%)
BIOLOGY-417S-01_Sun__Tai-ping_Fall_2023.html,Fall 2023,BIOLOGY-417S-01 : GENETIC ENGINEER/BIOTECH.BIOLOGY-417S-01.SCISOC-417S-01.,Tai-ping Sun,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,10/15 (66.67%),3.10,1.10,3.00,10,1: 0 (0.00%); 2: 4 (40.00%); 3: 2 (20.00%); 4: 3 (30.00%); 5: 1 (10.00%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
BME-290-01_Kim__Cameron_Spring_2024.html,Spring 2024,BME-290-01 : INTERMEDIATE TOPICS.BME-290-01.SCISOC-290-03.,Cameron Kim,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
