filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",15/16 (93.75%),4.87,0.35,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (13.33%); Excellent: 13 (86.67%)
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",15/16 (93.75%),4.80,0.41,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (20.00%); Excellent: 12 (80.00%)
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",15/16 (93.75%),4.87,0.35,5.00,15,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (13.33%); Excellent: 13 (86.67%)
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,8,The course was difficult.,14/16 (87.5%),3.43,0.76,4.00,14,Strongly disagree: 0 (0.00%); Disagree: 2 (14.29%); Neither agree nor disagree: 4 (28.57%); Agree: 8 (57.14%); Strongly agree: 0 (0.00%)
AAAS-349S-01_Shapiro__Karin_Spring_2024.html,Spring 2024,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,15/16 (93.75%),4.53,1.06,5.00,15,1: 0 (0.00%); 2: 0 (0.00%); 3: 3 (20.00%); 4: 4 (26.67%); 5: 5 (33.33%); 6: 3 (20.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",12/16 (75%),4.58,0.51,5.00,12,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (41.67%); Excellent: 7 (58.33%)
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",12/16 (75%),4.58,0.51,5.00,12,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 5 (41.67%); Excellent: 7 (58.33%)
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",11/16 (68.75%),4.73,0.47,5.00,11,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (27.27%); Excellent: 8 (72.73%)
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,8,The course was difficult.,12/16 (75%),3.67,0.65,4.00,12,Strongly disagree: 0 (0.00%); Disagree: 1 (8.33%); Neither agree nor disagree: 2 (16.67%); Agree: 9 (75.00%); Strongly agree: 0 (0.00%)
AAAS-349S-01_Shapiro__Karin_Spring_2025.html,Spring 2025,AAAS-349S-01 : CONTEMPORARY SOUTH AFRICA.AAAS-349S-01.HISTORY-259S-01.POLSCI-368S-01.PUBPOL-321S-01.RIGHTS-351S-01.SOCIOL-259S-01.,Karin Shapiro,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,12/16 (75%),4.58,1.62,4.00,12,1: 0 (0.00%); 2: 0 (0.00%); 3: 4 (33.33%); 4: 3 (25.00%); 5: 2 (16.67%); 6: 0 (0.00%); 7: 3 (25.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
CULANTH-110S-01_Canada__Tracie_Spring_2024.html,Spring 2024,CULANTH-110S-01 : EMBODIED BLACKNESS.CULANTH-110S-01.AAAS-110S-01.GSF-110S-01.LIT-111S-01.SOCIOL-230S-01.,Tracie Canada,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
CULANTH-110S-01_Canada__Tracie_Spring_2024.html,Spring 2024,CULANTH-110S-01 : EMBODIED BLACKNESS.CULANTH-110S-01.AAAS-110S-01.GSF-110S-01.LIT-111S-01.SOCIOL-230S-01.,Tracie Canada,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
CULANTH-110S-01_Canada__Tracie_Spring_2024.html,Spring 2024,CULANTH-110S-01 : EMBODIED BLACKNESS.CULANTH-110S-01.AAAS-110S-01.GSF-110S-01.LIT-111S-01.SOCIOL-230S-01.,Tracie Canada,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/18 (33.33%),5.00,0.00,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 0 (0.00%); Excellent: 6 (100.00%)
CULANTH-110S-01_Canada__Tracie_Spring_2024.html,Spring 2024,CULANTH-110S-01 : EMBODIED BLACKNESS.CULANTH-110S-01.AAAS-110S-01.GSF-110S-01.LIT-111S-01.SOCIOL-230S-01.,Tracie Canada,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
