uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987178_27466653,SPANISH-101-01,ELEMENTARY SPANISH 1.SPANISH-101-01.,"Perez-Ventura, Celia",Summer I 2023,ROMANCE,"14 of 15  responded (93.33%)



 View Report
                            



 Download PDF",SPANISH,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,hnURs7KVZLOsm7WXJFKBiA%3d%3d,zBljFc9WoNB2lEFjUlMjsg%3d%3d,2025-11-24T16:46:10.660326
149911_8928_11987230_27445913,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Milian, Claudia",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,6pUSi%2fVtNNpayCRadLlUrw%3d%3d,2025-11-24T16:46:10.660413
149911_8928_11987230_27466678,SPANISH-439SA-01,GLOBAL SPAIN.SPANISH-439SA-01.LATAMER-439SA-01.LSGS-439SA-01.,"Canteli VigÃ³n, Marcos",Summer I 2023,ROMANCE,"16 of 17  responded (94.12%)



 View Report
                            



 Download PDF",,99029,R3taZNKnw14IRH7UBESaUg%3d%3d,%2baKBpVrnoPZpSCZnsHuElA%3d%3d,Zl2Ihd6JE86k8%2f9nNqnoNw%3d%3d,2025-11-24T16:46:10.660484
149911_8928_11987231_27466684,SPANISH-306A-01,LANG/CULT/HEALTH COSTA RICA.SPANISH-306A-01.GLHLTH-326A-01.,"Fernandez, Bethzaida",Summer I 2023,ROMANCE,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF","SPANISH, GLHLTH",99029,R3taZNKnw14IRH7UBESaUg%3d%3d,VPHrc%2fVrqW2olAFknj6NHA%3d%3d,uQC%2bF4lsYkSRmTi1L2E%2fUw%3d%3d,2025-11-24T16:46:10.660556
152527_9107_12076215_27466705,SPANISH-92A-01,CULTURE LANGUAGE COSTA RICA.SPANISH-92A-01.,"Searles, Joy",Summer II 2023,ROMANCE,"5 of 15  responded (33.33%)



 View Report
                            



 Download PDF",SPANISH,99029,4TxgzUHg4Suz2MS8X7frbw%3d%3d,ZQiC0%2bGiJ1UCDNVmUGZBjw%3d%3d,K2Bd%2fAJUzPO1RwPEa0nseA%3d%3d,2025-11-24T16:46:10.660626
153858_9169_12281883_27466642,SPANISH-301-06,ADV SPANISH WRITING.SPANISH-301-06.,"Simmermeyer, Melissa",Fall 2023,ROMANCE,"6 of 10  responded (60.00%)



 View Report
                            



 Download PDF",SPANISH,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,sumfpUbM8ZlazvWbDn2vbQ%3d%3d,WKHRTjna1HLqtNXcsLSQCQ%3d%3d,2025-11-24T16:46:10.660694
153858_9169_12281890_28111732,SPANISH-390S-01,TOPICS IN SPANISH STUDIES.SPANISH-390S-01.,"Mulligan, Joseph",Fall 2023,ROMANCE,"10 of 10  responded (100.00%)



 View Report
                            



 Download PDF",SPANISH,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,fgKPUI7xb5wD1CJ1papH7g%3d%3d,ULRBfAJ0Vqi5nho%2fCwotNA%3d%3d,2025-11-24T16:46:10.660845
153858_9169_12281896_27446125,SPANISH-333-01,INTRO LITERATURE & VISUAL ARTS.SPANISH-333-01.,"Rodriguez-Garcia, Jose",Fall 2023,ROMANCE,"11 of 12  responded (91.67%)



 View Report
                            



 Download PDF",SPANISH,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,V8R8fzzQEoAP4xAgCPxKZA%3d%3d,VO5Y3zp6ilV5z1JVm0Iazw%3d%3d,2025-11-24T16:46:10.660966
153858_9169_12281898_28111711,SPANISH-112-01,ACCELERATED ELEM SPANISH.SPANISH-112-01.,"Contreras, Stephanie",Fall 2023,ROMANCE,"12 of 15  responded (80.00%)



 View Report
                            



 Download PDF",SPANISH,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,qM8V2zfa5tFobAOS5NTIhw%3d%3d,RXejPxEsjWUkkrJ7QIviMg%3d%3d,2025-11-24T16:46:10.661057
153858_9169_12281899_27675605,SPANISH-205-01,ADV INTER SPANISH-SERV-LEARN.SPANISH-205-01.,"Ewing, Rebecca",Fall 2023,ROMANCE,"11 of 11  responded (100.00%)



 View Report
                            



 Download PDF",SPANISH,99029,CtmkEaIRhsSP75R5T115eg%3d%3d,Ke3GK9vfygGx2krodTVjNQ%3d%3d,UdLYrUe6b5LOhUdnWDBvyQ%3d%3d,2025-11-24T16:46:10.661142
