filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,6/6 (100%),4.83,0.41,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,6/6 (100%),4.83,0.41,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,6/6 (100%),4.83,0.41,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),1,16.67%,6/6 (100%),4.83,0.41,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),5,83.33%,6/6 (100%),4.83,0.41,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,6/6 (100%),4.67,0.52,5.00
LSGS-201-01_Leon__Christina_Fall_2024.html,Fall 2024,LSGS-201-01 : INTRO TO LATINO/A STUDIES.LSGS-201-01.AAAS-104-01.ICS-106-01.LIT-243-01.SPANISH-160-01.,Christina Leon,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,6/6 (100%),4.67,0.52,5.00
