uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
149911_8928_11987176_27466639,STA-199L-001,INTRO TO DATA SCIENCE.STA-199L-001.,"Meyer, Elijah",Summer I 2023,STATSCI,"10 of 20  responded (50.00%)



 View Report
                            



 Download PDF",STA,99034,R3taZNKnw14IRH7UBESaUg%3d%3d,bmQ4g86f0DJ2R3X%2fGub6JA%3d%3d,N3F5SyzGISEE5AC3OsCO1w%3d%3d,2025-11-24T16:47:53.598568
152527_9107_12076186_27675591,MATH-230-01,PROBABILITY.MATH-230-01.STA-230-01.,"Ghanbari, Maryam",Summer II 2023,MATH,"9 of 11  responded (81.82%)



 View Report
                            



 Download PDF","MATH, STA",99010,4TxgzUHg4Suz2MS8X7frbw%3d%3d,BDhxJtrSAZeutnk3SPW07A%3d%3d,vNX48dyO49URA5KfGGBznQ%3d%3d,2025-11-24T16:47:53.598931
152527_9107_12076213_27675608,STA-199L-001,INTRO TO DATA SCIENCE.STA-199L-001.,"Tam, Ed",Summer II 2023,STATSCI,"15 of 25  responded (60.00%)



 View Report
                            



 Download PDF",STA,99034,4TxgzUHg4Suz2MS8X7frbw%3d%3d,zdnTjDYvcfk0m121i4fTsg%3d%3d,m4qySfrqDB3utu1dvJXuIw%3d%3d,2025-11-24T16:47:53.599337
154503_9169_12217080_27930957,STA-790-1-01,SPECIAL TOPICS.STA-790-1-01.,"Ma, Li",Fall 2023,STATSCI,"10 of 14  responded (71.43%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,jLVzni0vX1w6L2Bye1f97g%3d%3d,Zr8z5fduHRuCsRHbP5CXkA%3d%3d,2025-11-24T16:47:53.599562
154503_9169_12241027_27991334,STA-521L-001,PREDICTIVE MODELING.STA-521L-001.,"Banks, David",Fall 2023,STATSCI,"30 of 39  responded (76.92%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,5bo%2fDfeFywi1Mq0r1U3m1g%3d%3d,Pn4E0Iei229wDEFDYtYGkw%3d%3d,2025-11-24T16:47:53.599784
154503_9169_12241037_27991331,STA-522-01,STUDY DESIGN.STA-522-01.,"Reiter, Jerry",Fall 2023,STATSCI,"8 of 11  responded (72.73%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,1%2fglDU%2bSYcYW0dEo1Yn2cw%3d%3d,iCdyH%2bq7RfM%2b6aMCIn%2fvwg%3d%3d,2025-11-24T16:47:53.599979
154503_9169_12241058_27991337,STA-832-01,MULTIVARIATE STAT ANALY.STA-832-01.,"Hoff, Peter",Fall 2023,STATSCI,"11 of 21  responded (52.38%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,faYUAlYaVtxqBHLFKUo61Q%3d%3d,TWUf5w2JbbDKl8GZyymU%2bg%3d%3d,2025-11-24T16:47:53.600171
154503_9169_12241063_27991330,STA-610L-001,HIERARCHICAL MODELS.STA-610L-001.,"Li, Fan",Fall 2023,STATSCI,"30 of 53  responded (56.60%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,O4HabU7F0f5cLbpsXhPbQA%3d%3d,uump4JmLVYaMG%2bYcOu4FdA%3d%3d,2025-11-24T16:47:53.600513
154503_9169_12241065_27991338,STA-711-01,PROBABIL/MEASURE THEORY.STA-711-01.,"Reeves, Galen",Fall 2023,STATSCI,"14 of 21  responded (66.67%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,PU0Q3Xtp6abvHMVwHi0qxA%3d%3d,o5O2r5josIeUvZOsn%2f%2fEYA%3d%3d,2025-11-24T16:47:53.600717
154503_9169_12241071_27930957,STA-602L-001,BAYESIAN STATISTICAL MODELING.STA-602L-001.,"Ma, Li",Fall 2023,STATSCI,"29 of 36  responded (80.56%)



 View Report
                            



 Download PDF",STA,98889,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,YrxsERyx9UuvpHr60DYW8w%3d%3d,Zr8z5fduHRuCsRHbP5CXkA%3d%3d,2025-11-24T16:47:53.600873
154503_9169_12241494_27991696,MATH-541-01,APPLIED STOCHASTIC PROC.MATH-541-01.STA-621-01.,"Dunlap, Alexander",Fall 2023,MATH,"19 of 41  responded (46.34%)



 View Report
                            



 Download PDF","MATH, STA",98862,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,c3zHZdYxL3U9rGtdxQ7hVg%3d%3d,Cv0VVCoec6ryRGA62c%2bcuw%3d%3d,2025-11-24T16:47:53.600952
154503_9169_12241510_27991338,ECE-587-01,INFORMATION THEORY.ECE-587-01.STA-563-01.,"Reeves, Galen",Fall 2023,ELEC&CMP,"11 of 27  responded (40.74%)



 View Report
                            



 Download PDF","ECE, STA",98391,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,D0N12ImZPxwMc3nIUqeTCQ%3d%3d,o5O2r5josIeUvZOsn%2f%2fEYA%3d%3d,2025-11-24T16:47:53.601027
154503_9169_12241520_27991701,COMPSCI-671D-05D,THEORY & ALG MACHINE LEARNING.COMPSCI-671D-05D.ECE-687D-05D.STA-671D-05D.,"Rudin, Cynthia",Fall 2023,COMPSCI,"5 of 22  responded (22.73%)



 View Report
                            



 Download PDF",,98827,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,AGtyK22LzqmLKe%2f06jpA0w%3d%3d,nKi5fZBS0C49sFHkermiIg%3d%3d,2025-11-24T16:47:53.601102
154503_9169_12241520_27991703,COMPSCI-671D-05D,THEORY & ALG MACHINE LEARNING.COMPSCI-671D-05D.ECE-687D-05D.STA-671D-05D.,"Barnett, Alina",Fall 2023,COMPSCI,"5 of 22  responded (22.73%)



 View Report
                            



 Download PDF",,98827,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,AGtyK22LzqmLKe%2f06jpA0w%3d%3d,wG%2fM66XfbOFNOV11Wj2bzA%3d%3d,2025-11-24T16:47:53.601174
