filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",8/14 (57.14%),4.38,0.74,4.50,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 1 (12.50%); Very Good: 3 (37.50%); Excellent: 4 (50.00%)
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/14 (57.14%),4.50,0.53,4.50,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 4 (50.00%); Excellent: 4 (50.00%)
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/14 (57.14%),4.63,0.52,5.00,8,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (37.50%); Excellent: 5 (62.50%)
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,8,The course was difficult.,8/14 (57.14%),4.25,0.46,4.00,8,Strongly disagree: 0 (0.00%); Disagree: 0 (0.00%); Neither agree nor disagree: 0 (0.00%); Agree: 6 (75.00%); Strongly agree: 2 (25.00%)
BA-915-01_Arlotto__Alessandro_Fall_2024.html,Fall 2024,BA-915-01 : STOCHASTIC MODELS.BA-915-01.MATH-742-01.STA-715-01.,Alessandro Arlotto,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,7/14 (50%),6.43,3.05,6.00,7,1: 0 (0.00%); 2: 1 (14.29%); 3: 0 (0.00%); 4: 1 (14.29%); 5: 1 (14.29%); 6: 1 (14.29%); 7: 0 (0.00%); 8: 1 (14.29%); 9: 0 (0.00%); 10+: 2 (28.57%)
COMPSCI-520D-001_Sun__Xiaobai_Spring_2024.html,Spring 2024,COMPSCI-520D-001 : NUMERICAL ANALYSIS.COMPSCI-520D-001.MATH-565D-001.STA-612D-001.,Xiaobai Sun,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
COMPSCI-520D-001_Sun__Xiaobai_Spring_2024.html,Spring 2024,COMPSCI-520D-001 : NUMERICAL ANALYSIS.COMPSCI-520D-001.MATH-565D-001.STA-612D-001.,Xiaobai Sun,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
