filename,semester,course,instructor,question_number,question_text,response_text
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to approach probability differently and with an open mind, how to think critically about the world around us and apply statistics, and how important the quantitative sciences are."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1. How to collaborate and ask for help
2. How to keep up with challenging content
3. Not being discouraged by not performing well academically."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about data science techniques, probability calculations, and the versatility of statistical modeling. I studied these topics through both a mathematical and historical lens, which I really appreciated."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned new ways to view statistical problems, new methods of statistical modeling and analysis, and interesting insight into real-world relevant developments in statistics, large language models, etc."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about various topics in statistics and how to apply them to various scenarios. For instance, I learned about social network models, Bayes rule, multiple regression, etc."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","How to approach difficult assignments and topics, how to present on advanced topics effectively, statistical methods."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Critical thinking, statistical skills, presentation skills"
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","- Basically threw us in the deep end so learned how to deliver presentations, balance work, and handle college
- New ways of thinking about statistics
- Overly complex statistical concepts"
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned how to prepare long presentations and gained important presentation skills. 
I gained experience with completing challenging statistics problems.
I learned about the application of mathematical modeling to other fields through the presentations."
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","-learned about a bunch of high-level statistical things
-collaboration
-time management
-working through hard problems
-presentation skills
-totally random but cool facts from Dr. Banks"
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Homeworks were extremely difficult, but Dr. Banks was helpful and encouraged everyone to go to office hours. He's also a great mentor + nice person to talk to and ask advice from."
