filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,11/18 (61.11%),4.55,0.52,5.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,11/18 (61.11%),4.55,0.52,5.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),0,0.00%,11/18 (61.11%),4.55,0.52,5.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),5,45.45%,11/18 (61.11%),4.55,0.52,5.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),6,54.55%,11/18 (61.11%),4.55,0.52,5.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,11/18 (61.11%),4.09,0.70,4.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,11/18 (61.11%),4.09,0.70,4.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Average,(3),2,18.18%,11/18 (61.11%),4.09,0.70,4.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Very Good,(4),6,54.55%,11/18 (61.11%),4.09,0.70,4.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Excellent,(5),3,27.27%,11/18 (61.11%),4.09,0.70,4.00
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Poor,(1),0,0.00%,12/18 (66.67%),4.50,0.52,4.50
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Marginal,(2),0,0.00%,12/18 (66.67%),4.50,0.52,4.50
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Average,(3),0,0.00%,12/18 (66.67%),4.50,0.52,4.50
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Very Good,(4),6,50.00%,12/18 (66.67%),4.50,0.52,4.50
STA-110FS-01_Banks__David_Fall_2023.html,Fall 2023,STA-110FS-01 : FOCUS PROGRAM - SPECIAL TOPICS.STA-110FS-01.,David Banks,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",Excellent,(5),6,50.00%,12/18 (66.67%),4.50,0.52,4.50
