filename,semester,course,instructor,question_number,question_text,response_text
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about the conventions of Roman drama, the various ways in which we can make deductions from historical evidence, and about the effects of Roman drama on later drama."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","Reading ancient Roman scripts (tragedies, comedies, and historical drama). 
Identifying and analyzing different stock characters and their role in the plot and how they represented Roman values and perspectives. 
The interaction of politics and stage performances in ancient Rome."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","All things Roman drama. We talked about different types of plays, staging, scripts, tropes, Roman culture, politics, and more."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","I learned about Roman tragedy, Roman comedy, and how to use different types of fragmentary evidence to make conclusions and learn about ancient Roman theater."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.","1) Examining different kinds of evidence ranging from script fragments to artistic depictions of Roman drama 
2) Considering the roles of participants, patrons, audiences, and everyone in between in regards to the integral role of drama in Roman society
3) Discovering the tropes and stories of Roman comedy, tragedy, and historical drama, and considering their impact on modern storytelling."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","We had reading assignments for each class, which worked well. The extra credit/make-up assignments were also excellent. The midterm and final project options were very interesting and fun."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",I liked the group workshops where we all would analyze different parts of a script and talk about our findings.
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","Professor Ginsberg is awesome. Such an inspiring person to learn from, even as someone not involved in classics. Reading long articles or full scripts can be tedious, but the discussion questions always keep you thinking and challenge you to analyze the text more deeply as you read. In-class discussions are always lively and filled with fascinating details. She asks questions that would never cross your mind but make you re-evaluate how you see the Romans. I think the layout of the course is really conducive to learning, discussion, and engagement."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","I really liked all of the plays that we read and the discussion board homework assignments on them. It was really cool to see my peers' thoughts on the readings and the discussion questions made me read more carefully. I also really liked having options for midterm and final assignments. While both options sounded interesting, I felt like I could choose the option that I felt the most confident on, which was super helpful."
CLST-304-01_Ginsberg__Lauren_Fall_2023.html,Fall 2023,CLST-304-01 : DRAMA OF ANCIENT ROME.CLST-304-01.THEATRST-227-01.VMS-240-01.,Lauren Ginsberg,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?","This class was INCREDIBLY thoughtful in its construction. Professor Ginsberg truly brought the ancient to life in the present by encouraging us to engage directly with evidence and notice patterns for ourselves. This easily could have been a boring, lecture-style class, but she invited us into the incredibly exciting world of being a Roman dramatist and made us all feel welcome in that space no matter our background. The combination of workshops, research, readings, discussions, lectures, and more created a learning environment that was vibrant and different every day."
