filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",6/8 (75%),4.50,0.55,4.50,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 3 (50.00%); Excellent: 3 (50.00%)
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",6/8 (75%),4.67,0.52,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (33.33%); Excellent: 4 (66.67%)
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",6/8 (75%),4.67,0.52,5.00,6,Poor: 0 (0.00%); Marginal: 0 (0.00%); Average: 0 (0.00%); Very Good: 2 (33.33%); Excellent: 4 (66.67%)
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,8,The course was difficult.,6/8 (75%),2.83,0.98,2.50,6,Strongly disagree: 0 (0.00%); Disagree: 3 (50.00%); Neither agree nor disagree: 1 (16.67%); Agree: 2 (33.33%); Strongly agree: 0 (0.00%)
TURKISH-102-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-102-01 : ELEMENTARY TURKISH.TURKISH-102-01.,Didem Havlioglu,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,6/8 (75%),3.17,1.17,3.00,6,1: 0 (0.00%); 2: 2 (33.33%); 3: 2 (33.33%); 4: 1 (16.67%); 5: 1 (16.67%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 0 (0.00%); 9: 0 (0.00%); 10+: 0 (0.00%)
TURKISH-204-01_Havlioglu__Didem_Spring_2025.html,Spring 2025,TURKISH-204-01 : INTERMEDIATE TURKISH.TURKISH-204-01.,Didem Havlioglu,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
