uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
153858_9169_12283488_27445936,UNIV-102-01,LETS TALK ABOUT CLIMATE CHANGE.UNIV-102-01.,"Bernhardt, Emily",Fall 2023,ARTS&SCI,"103 of 150  responded (68.67%)



 View Report
                            



 Download PDF",UNIV,98968,CtmkEaIRhsSP75R5T115eg%3d%3d,CTwkUJceL%2fmiqOToaisjbA%3d%3d,BpKNffkOiYgenWsWw%2bGkZA%3d%3d,2025-11-24T16:49:18.761476
153858_9169_12283488_28080162,UNIV-102-01,LETS TALK ABOUT CLIMATE CHANGE.UNIV-102-01.,"Wirzba, Norman",Fall 2023,ARTS&SCI,"103 of 150  responded (68.67%)



 View Report
                            



 Download PDF",UNIV,98968,CtmkEaIRhsSP75R5T115eg%3d%3d,CTwkUJceL%2fmiqOToaisjbA%3d%3d,sUAR3iGrJt3NmKNpESGDtg%3d%3d,2025-11-24T16:49:18.761571
153858_9169_12283488_28112245,UNIV-102-01,LETS TALK ABOUT CLIMATE CHANGE.UNIV-102-01.,"Shapiro, Justin",Fall 2023,ARTS&SCI,"103 of 150  responded (68.67%)



 View Report
                            



 Download PDF",UNIV,98968,CtmkEaIRhsSP75R5T115eg%3d%3d,CTwkUJceL%2fmiqOToaisjbA%3d%3d,3l3IpxnObDRHm8EubfXswA%3d%3d,2025-11-24T16:49:18.761651
161337_9470_12751600_27445809,UNIV-103D-001,LET'S TALK ABOUT DIGITAL YOU.UNIV-103D-001.,"Farahany, Nita",Spring 2024,ARTS&SCI,"10 of 87  responded (11.49%)



 View Report
                            



 Download PDF",UNIV,98968,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,AFhx1IjoTRIbQf3aHKEr2Q%3d%3d,%2bKClnAY4fsHgQO4dnEL5QA%3d%3d,2025-11-24T16:49:18.761734
161337_9470_12751600_27757507,UNIV-103D-001,LET'S TALK ABOUT DIGITAL YOU.UNIV-103D-001.,"Hirschey, Matthew",Spring 2024,ARTS&SCI,"10 of 87  responded (11.49%)



 View Report
                            



 Download PDF",UNIV,98968,2IfRs0kYs9aOfu4jFuJHkQ%3d%3d,AFhx1IjoTRIbQf3aHKEr2Q%3d%3d,dM694GZmD6%2be6qU0FplD8g%3d%3d,2025-11-24T16:49:18.761812
171550_9973_13687045_27991340,UNIV-104D-11D,ART & SCIENCE OF WHAT 'WORKS'.UNIV-104D-11D.,"Daily, Shaundra",Fall 2024,ARTS&SCI,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",,98968,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,r7KBmmTKjg67CyaOZpx6VA%3d%3d,Cu8F0wGobTYr13WR%2bWHw0Q%3d%3d,2025-11-24T16:49:18.761891
171550_9973_13687045_27991388,UNIV-104D-11D,ART & SCIENCE OF WHAT 'WORKS'.UNIV-104D-11D.,"Samanez-Larkin, Gregory",Fall 2024,ARTS&SCI,"5 of 13  responded (38.46%)



 View Report
                            



 Download PDF",,98968,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,r7KBmmTKjg67CyaOZpx6VA%3d%3d,%2bk9%2fyFmx6l2DmsWP%2fREBhw%3d%3d,2025-11-24T16:49:18.761992
171550_9973_13687150_27991340,UNIV-104D-06D,ART & SCIENCE OF WHAT 'WORKS'.UNIV-104D-06D.,"Daily, Shaundra",Fall 2024,ARTS&SCI,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF",,98968,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,aoDFoYvufC%2bawC%2fq%2bZxN5g%3d%3d,Cu8F0wGobTYr13WR%2bWHw0Q%3d%3d,2025-11-24T16:49:18.762077
171550_9973_13687150_27991388,UNIV-104D-06D,ART & SCIENCE OF WHAT 'WORKS'.UNIV-104D-06D.,"Samanez-Larkin, Gregory",Fall 2024,ARTS&SCI,"5 of 14  responded (35.71%)



 View Report
                            



 Download PDF",,98968,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,aoDFoYvufC%2bawC%2fq%2bZxN5g%3d%3d,%2bk9%2fyFmx6l2DmsWP%2fREBhw%3d%3d,2025-11-24T16:49:18.762172
171550_9973_13687199_27991340,UNIV-104D-05D,ART & SCIENCE OF WHAT 'WORKS'.UNIV-104D-05D.,"Daily, Shaundra",Fall 2024,ARTS&SCI,"7 of 13  responded (53.85%)



 View Report
                            



 Download PDF",,98968,YgV%2fL%2bBBQP1%2fm%2fx2ayVf6g%3d%3d,2r%2bis8RhUenNYCfaGUkWrA%3d%3d,Cu8F0wGobTYr13WR%2bWHw0Q%3d%3d,2025-11-24T16:49:18.762265
