filename,semester,course,instructor,question_number,question_text,response_option,weight,frequency,percentage,response_rate,mean,std,median
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,,,
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,,,
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Poor,(1),0,0.00%,14/23 (60.87%),4.29,0.73,4.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Marginal,(2),0,0.00%,14/23 (60.87%),4.29,0.73,4.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Average,(3),2,14.29%,14/23 (60.87%),4.29,0.73,4.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Very Good,(4),6,42.86%,14/23 (60.87%),4.29,0.73,4.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",Excellent,(5),6,42.86%,14/23 (60.87%),4.29,0.73,4.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,,,
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Poor,(1),0,0.00%,14/23 (60.87%),4.79,0.43,5.00
BIOLOGY-701-01_Noor__Mohamed_Fall_2023.html,Fall 2023,BIOLOGY-701-01 : GRADUATE SCHOOL 101.BIOLOGY-701-01.EVANTH-705-01.UPGEN-711-01.,Mohamed Noor,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",Marginal,(2),0,0.00%,14/23 (60.87%),4.79,0.43,5.00
