uid,course_code,title,instructor,term,area,response_rate,department_codes,data-id0,data-id1,data-id2,data-id3,scraped_at
152527_9107_12076172_27445801,DOCST-101-01,TRADITIONS IN DOC STUDIES.DOCST-101-01.VMS-103-01.ICS-111-01.,"Sims, Christopher",Summer II 2023,DOCST,"6 of 15  responded (40.00%)



 View Report
                            



 Download PDF","DOCST, VMS, ICS",98982,4TxgzUHg4Suz2MS8X7frbw%3d%3d,INBLWBvCr2ugXvMft6C2XA%3d%3d,P0MP4YBAKgKe%2budlQRWrlg%3d%3d,2025-11-24T16:49:27.807745
154503_9169_12241480_27446185,CMAC-580S-01,DIGITAL HUMANITIES PROSEM 1.CMAC-580S-01.ARTHIST-580S-01.HCVIS-580S-01.ISS-580S-01.VMS-580S-01.,"Szabo, Victoria",Fall 2023,CMAC,"8 of 16  responded (50.00%)



 View Report
                            



 Download PDF","CMAC, ARTHIST, HCVIS, ISS, VMS",98825,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,Ym8AmIg6zrB6ADSPRlQRVQ%3d%3d,BvecyrNpmuZAIglCF9YS2g%3d%3d,2025-11-24T16:49:27.807845
154503_9169_12241490_27991659,CINE-749S-01,CINEMATOGRAPHY.CINE-749S-01.VMS-760S-01.,"Milligan, Stephen",Fall 2023,ART&AHIST,"5 of 5  responded (100.00%)



 View Report
                            



 Download PDF","CINE, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,VGWHslmC4OxEzjsbe6CQlg%3d%3d,fk4leEtkwsLaRJT7XpC1ww%3d%3d,2025-11-24T16:49:27.807928
154503_9169_12241509_27446048,CULANTH-743S-01,MEDIA AND MEDIATION.CULANTH-743S-01.ARTHIST-743S-01.VMS-743S-01.,"Stein, Rebecca",Fall 2023,CULANTHRO,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","CULANTH, ARTHIST, VMS",98829,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,vWt1CCAgdz8kTdjmEbMe6A%3d%3d,DlqU1BhP497DBiqVnHrzTA%3d%3d,2025-11-24T16:49:27.808008
154503_9169_12241590_27466645,FRENCH-510-01,CITIZEN GODARD.FRENCH-510-01.CINE-642-01.LIT-510-01.VMS-552-01.,"Saliot, Anne-Gaelle",Fall 2023,ROMANCE,"5 of 12  responded (41.67%)



 View Report
                            



 Download PDF","FRENCH, CINE, LIT, VMS",98885,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,02ZPuhBy%2bSdYZxifx3wYhw%3d%3d,Z7Z28P1U53siqyLVTWp%2bGw%3d%3d,2025-11-24T16:49:27.808088
154503_9169_12241594_27445875,ARTSVIS-640S-01,EXPANDED CINEMA.ARTSVIS-640S-01.CINE-639S-01.DOCST-640S-01.LIT-545S-01.VMS-640S-01.,"Kaul, Shambhavi",Fall 2023,ART&AHIST,"11 of 13  responded (84.62%)



 View Report
                            



 Download PDF","ARTSVIS, CINE, DOCST, LIT, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,HcNw7UeBT78tifHQs%2ftnwQ%3d%3d,mMabPAiKivv7K2c78pHwlw%3d%3d,2025-11-24T16:49:27.808167
154503_9169_12241630_27991657,ARTSVIS-510S-01,BODY AS ELECTROCHEMICAL COMP.ARTSVIS-510S-01.CMAC-666S-01.ISS-666S-01.VMS-510S-01.,"Seaman, William",Fall 2023,ART&AHIST,"9 of 10  responded (90.00%)



 View Report
                            



 Download PDF","ARTSVIS, CMAC, ISS, VMS",98816,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,oFKDdS55NxZ9Z%2b%2f2m6Ga8w%3d%3d,4Nj%2bygE1G78Fra3nK1g3CA%3d%3d,2025-11-24T16:49:27.808244
154503_9169_12241647_27991676,AMES-631-01,NATIONAL CINEMAS.AMES-631-01.CINE-632-01.LIT-632-01.VMS-632-01.,"Hong, Guo-Juin",Fall 2023,AMES,"7 of 8  responded (87.50%)



 View Report
                            



 Download PDF","AMES, CINE, LIT, VMS",98815,t%2fFkKASUrBF6qRsNV5Za2w%3d%3d,YakjV5PPAveEJl6yMZqypw%3d%3d,Gue8wq%2fp%2buXf%2bpoRatUq3A%3d%3d,2025-11-24T16:49:27.808322
153858_9169_12282710_27446019,ENGLISH-290S-2-01,SP TOP 18TH & 19TH CENTURY LIT.ENGLISH-290S-2-01.VMS-290S-01.,"D'Alessandro, Michael",Fall 2023,ENGLISH,"13 of 13  responded (100.00%)



 View Report
                            



 Download PDF","ENGLISH, VMS",98988,CtmkEaIRhsSP75R5T115eg%3d%3d,7h3eGEIezBX2iT%2fMlyjANw%3d%3d,1mWwHfyCS1QuuwFntJhyFw%3d%3d,2025-11-24T16:49:27.808397
153858_9169_12282766_27991628,CINE-202-01,HISTORY OF DOCUMENTARY FILM.CINE-202-01.DOCST-107-01.VMS-265-01.,"Hill, Madison",Fall 2023,ART&AHIST,"13 of 14  responded (92.86%)



 View Report
                            



 Download PDF","CINE, DOCST, VMS",98967,CtmkEaIRhsSP75R5T115eg%3d%3d,OxIAxH77XurFiS9n2kYl7g%3d%3d,XH2XGVsbFjP85uG%2fUXMI5A%3d%3d,2025-11-24T16:49:27.808475
