filename,semester,course,instructor,question_number,question_text,response_rate,mean,std,median,total_responses,response_distribution
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,2,"Reflecting on the overall learning environment of this class, in what ways did the instructor(s) and the structure or components of the course facilitate your learning? Are there specific course components or methods of instruction you’d keep for future years?",,,,,,
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,3,"The course was intellectually stimulating. It made me think in new ways, encouraged me to adopt different points of view, or challenged me to develop new skills.",7/8 (87.5%),3.29,1.11,3.00,7,Poor: 0 (0.00%); Marginal: 2 (28.57%); Average: 2 (28.57%); Very Good: 2 (28.57%); Excellent: 1 (14.29%)
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,4,What made this class stimulating or how could it be more intellectually stimulating if it wasn’t?,,,,,,
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,5,"Considering all components of the course (lectures, discussions, sections/labs, assessments, projects, course environment, etc), overall the course was",8/8 (100%),2.75,1.39,3.00,8,Poor: 2 (25.00%); Marginal: 1 (12.50%); Average: 3 (37.50%); Very Good: 1 (12.50%); Excellent: 1 (12.50%)
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,6,"Based on the effectiveness of instruction (clarity, expertise, enthusiasm, rigor, support, inspiration, etc), overall the instructor,  Instructor(s), was",8/8 (100%),3.13,1.64,3.50,8,Poor: 2 (25.00%); Marginal: 1 (12.50%); Average: 1 (12.50%); Very Good: 2 (25.00%); Excellent: 2 (25.00%)
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,7,What would you like to say about this course to a student who is considering taking it in the future?,,,,,,
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,8,The course was difficult.,8/8 (100%),3.13,1.46,3.00,8,Strongly disagree: 1 (12.50%); Disagree: 2 (25.00%); Neither agree nor disagree: 2 (25.00%); Agree: 1 (12.50%); Strongly agree: 2 (25.00%)
ENVIRON-497-01_Oren__Ram_Spring_2025.html,Spring 2025,ENVIRON-497-01 : RES COMM IN ENVIRON SP&POLICY.ENVIRON-497-01.ECS-497-01.WRITING-497-01.,Ram Oren,9,How many hours in a typical week did you spend on this course (outside of class meetings)?,8/8 (100%),6.13,2.36,6.50,8,1: 0 (0.00%); 2: 0 (0.00%); 3: 1 (12.50%); 4: 2 (25.00%); 5: 1 (12.50%); 6: 0 (0.00%); 7: 0 (0.00%); 8: 3 (37.50%); 9: 1 (12.50%); 10+: 0 (0.00%)
I_E-253-01_Dinin__Aaron_Spring_2025.html,Spring 2025,I&E-253-01 : SOCIAL MARKETING.I&E-253-01.CMAC-253-01.ISS-253-01.VMS-255-01.WRITING-253-01.,Aaron Dinin,1,"What knowledge, methods, skills, insights, or ways of thinking did you develop in this course? Please describe three specific things you learned.",,,,,,
